eval,key,objective,RMSE,diff_mean,mean_error,diff_std,pearson_r,slope,slope_error,intercept,elapsed_s,D_H,D_C,D_N,D_O,Q_H,Q_C,Q_N,Q_O,error
1,4e624ece8e55,1.7904762853662377,0.4954194090379602,-0.35595082141681156,0.35595082141681156,0.347267485902758,0.9877976824246006,0.9457185682718751,0.05428143172812494,-0.47706348856124503,0.7857072353363037,1.0,0.8,0.6,0.2,1.0,2.6,3.4,3.0,
2,264833bf4cff,1.7904762853662377,0.4954194090379602,-0.35595082141681156,0.35595082141681156,0.347267485902758,0.9877976824246006,0.9457185682718751,0.05428143172812494,-0.47706348856124503,0.5360608100891113,0.9549150281252627,0.8,0.6,0.2,1.0,2.6,3.4,3.0,
3,edd6df560a78,1.7904762853662377,0.4954194090379602,-0.35595082141681156,0.35595082141681156,0.347267485902758,0.9877976824246006,0.9457185682718751,0.05428143172812494,-0.47706348856124503,0.5447967052459717,1.5450849718747368,0.8,0.6,0.2,1.0,2.6,3.4,3.0,
4,659aff10d8d2,1.7904762853662377,0.4954194090379602,-0.35595082141681156,0.35595082141681156,0.347267485902758,0.9877976824246006,0.9457185682718751,0.05428143172812494,-0.47706348856124503,0.5456686019897461,1.9098300562505255,0.8,0.6,0.2,1.0,2.6,3.4,3.0,
5,4a60dd4a7d74,1.7904762853662377,0.4954194090379602,-0.35595082141681156,0.35595082141681156,0.347267485902758,0.9877976824246006,0.9457185682718751,0.05428143172812494,-0.47706348856124503,0.553638219833374,2.1352549156242113,0.8,0.6,0.2,1.0,2.6,3.4,3.0,
6,e2e81ed6417b,1.7904762853662377,0.4954194090379602,-0.35595082141681156,0.35595082141681156,0.347267485902758,0.9877976824246006,0.9457185682718751,0.05428143172812494,-0.47706348856124503,0.5453617572784424,2.2745751406263146,0.8,0.6,0.2,1.0,2.6,3.4,3.0,
7,6e9f5902f495,1.7904762853662377,0.4954194090379602,-0.35595082141681156,0.35595082141681156,0.347267485902758,0.9877976824246006,0.9457185682718751,0.05428143172812494,-0.47706348856124503,0.5450172424316406,2.360679774997897,0.8,0.6,0.2,1.0,2.6,3.4,3.0,
8,17a39835ceda,1.7904762853662377,0.4954194090379602,-0.35595082141681156,0.35595082141681156,0.347267485902758,0.9877976824246006,0.9457185682718751,0.05428143172812494,-0.47706348856124503,0.5420136451721191,2.4138953656284174,0.8,0.6,0.2,1.0,2.6,3.4,3.0,
9,119bdcaccbc2,1.7904762853662377,0.4954194090379602,-0.35595082141681156,0.35595082141681156,0.347267485902758,0.9877976824246006,0.9457185682718751,0.05428143172812494,-0.47706348856124503,0.5464744567871094,2.4467844093694797,0.8,0.6,0.2,1.0,2.6,3.4,3.0,
10,ea68b24c00bc,1.7904762853662377,0.4954194090379602,-0.35595082141681156,0.35595082141681156,0.347267485902758,0.9877976824246006,0.9457185682718751,0.05428143172812494,-0.47706348856124503,0.5441086292266846,2.4671109562589377,0.8,0.6,0.2,1.0,2.6,3.4,3.0,
11,2edb95d5eb23,1.7904762853662377,0.4954194090379602,-0.35595082141681156,0.35595082141681156,0.347267485902758,0.9877976824246006,0.9457185682718751,0.05428143172812494,-0.47706348856124503,0.5454287528991699,2.4796734531105415,0.8,0.6,0.2,1.0,2.6,3.4,3.0,
12,e64690882c17,1.7904762853662377,0.4954194090379602,-0.35595082141681156,0.35595082141681156,0.347267485902758,0.9877976824246006,0.9457185682718751,0.05428143172812494,-0.47706348856124503,0.5441958904266357,2.487437503148396,0.8,0.6,0.2,1.0,2.6,3.4,3.0,
13,677637e3dcf8,1.7904762853662377,0.4954194090379602,-0.35595082141681156,0.35595082141681156,0.347267485902758,0.9877976824246006,0.9457185682718751,0.05428143172812494,-0.47706348856124503,0.542503833770752,2.4922359499621454,0.8,0.6,0.2,1.0,2.6,3.4,3.0,
14,390f910a1ce0,1.7904762853662377,0.4954194090379602,-0.35595082141681156,0.35595082141681156,0.347267485902758,0.9877976824246006,0.9457185682718751,0.05428143172812494,-0.47706348856124503,0.5452239513397217,2.4952015531862513,0.8,0.6,0.2,1.0,2.6,3.4,3.0,
15,4de8e8b1dee0,1.7904762853662377,0.4954194090379602,-0.35595082141681156,0.35595082141681156,0.347267485902758,0.9877976824246006,0.9457185682718751,0.05428143172812494,-0.47706348856124503,0.5493698120117188,2.4970343967758946,0.8,0.6,0.2,1.0,2.6,3.4,3.0,
16,795d60f7b895,1.7904762853662377,0.4954194090379602,-0.35595082141681156,0.35595082141681156,0.347267485902758,0.9877976824246006,0.9457185682718751,0.05428143172812494,-0.47706348856124503,0.5466790199279785,2.4981671564103562,0.8,0.6,0.2,1.0,2.6,3.4,3.0,
17,0a47f23a0872,1.7904762853662377,0.4954194090379602,-0.35595082141681156,0.35595082141681156,0.347267485902758,0.9877976824246006,0.9457185682718751,0.05428143172812494,-0.47706348856124503,0.5452706813812256,2.498867240365538,0.8,0.6,0.2,1.0,2.6,3.4,3.0,
18,cc4a02a9ff48,1.7904762853662377,0.4954194090379602,-0.35595082141681156,0.35595082141681156,0.347267485902758,0.9877976824246006,0.9457185682718751,0.05428143172812494,-0.47706348856124503,0.5446889400482178,2.4992999160448184,0.8,0.6,0.2,1.0,2.6,3.4,3.0,
19,b27159f1ecdf,1.7904762853662377,0.4954194090379602,-0.35595082141681156,0.35595082141681156,0.347267485902758,0.9877976824246006,0.9457185682718751,0.05428143172812494,-0.47706348856124503,0.5544281005859375,2.4996332716163634,0.8,0.6,0.2,1.0,2.6,3.4,3.0,
20,d589807b84b2,1.7570570119300362,0.5007865812491022,-0.3259962434816556,0.3259962434816556,0.3831079155586385,0.9850015785167946,0.9411172238480111,0.05888277615198889,-0.4573754249364615,0.5492150783538818,2.4996332716163634,0.9549150281252627,0.6,0.2,1.0,2.6,3.4,3.0,
21,56f15b8b80c1,1.9046325541454752,0.592573047773591,-0.199194712832497,0.199194712832497,0.5624330295726327,0.966653832550227,0.9135018984545906,0.08649810154540938,-0.3921891760877202,0.5456564426422119,2.4996332716163634,1.5450849718747368,0.6,0.2,1.0,2.6,3.4,3.0,
22,f4c5b896fd39,1.8642029739879658,0.4990233110975709,-0.393520782890854,0.393520782890854,0.30925231909407086,0.9904582441734674,0.9500621630636377,0.049937836936362334,-0.504942026403356,0.5459425449371338,2.4996332716163634,0.5901699437494743,0.6,0.2,1.0,2.6,3.4,3.0,
23,8a915a524755,1.7494610655510587,0.5062050438104395,-0.31077849964188,0.31077849964188,0.40268469336026447,0.9833537625237999,0.9384516124003943,0.06154838759960568,-0.44810519024877604,0.5515942573547363,2.4996332716163634,1.0304550538758908,0.6,0.2,1.0,2.6,3.4,3.0,
24,04274b097a62,1.7486333727056866,0.5136774142922159,-0.2949342030385194,0.2949342030385194,0.423841981519168,0.981476211343087,0.9354643562403574,0.0645356437596426,-0.43892605610461144,0.5440921783447266,2.4996332716163634,1.1072628591136144,0.6,0.2,1.0,2.6,3.4,3.0,
25,dfabea3046aa,1.7480815733340582,0.5105957407522127,-0.30101239882135183,0.30101239882135183,0.41564089264647885,0.9822159602950913,0.936634911837765,0.06336508816223496,-0.4423925096041363,0.5450005531311035,2.4996332716163634,1.0780020864171709,0.6,0.2,1.0,2.6,3.4,3.0,
26,4d666f69f09c,1.7480815247280255,0.5105457730360073,-0.301115413673258,0.301115413673258,0.41550274726200676,0.982228291260683,0.9366544962236943,0.06334550377630566,-0.442451827797004,0.5454795360565186,2.4996332716163634,1.0775039536275433,0.6,0.2,1.0,2.6,3.4,3.0,
27,12677eb15c14,1.7480817643439392,0.5105123977599888,-0.30118435669111965,0.30118435669111965,0.4154103383784484,0.9822365374354813,0.9366675914838082,0.06333240851619182,-0.44249155268577794,0.5486152172088623,2.4996332716163634,1.0771706161781611,0.6,0.2,1.0,2.6,3.4,3.0,
28,a8c94069e8b7,1.6979768364614674,0.6008790743634479,-0.4071157032407359,0.4071157032407359,0.4453809868716662,0.981078724382657,1.0240434088658674,0.02404340886586742,-0.3534700774294246,0.5485858917236328,2.4996332716163634,1.0775039536275433,0.9549150281252627,0.2,1.0,2.6,3.4,3.0,
29,96a8f9f3a718,4.339348936081163,0.9478093193178038,-0.5504598317262002,0.5504598317262002,0.777585115555151,0.9690953897065432,1.1869615787238392,0.18696157872383923,-0.13331137539604995,0.5420758724212646,2.4996332716163634,1.0775039536275433,1.5450849718747368,0.2,1.0,2.6,3.4,3.0,
30,72ab8c7f4fc9,1.7731344616250588,0.5097069646946938,-0.2979777649353318,0.2979777649353318,0.41675230006596514,0.9821859381597532,0.9343617138274335,0.0656382861725665,-0.44442983246674417,0.546046257019043,2.4996332716163634,1.0775039536275433,0.5901699437494743,0.2,1.0,2.6,3.4,3.0,
31,ff1460548995,1.481380810130436,0.5457157811330753,-0.3607248507454073,0.3607248507454073,0.4126782612759815,0.9822390458061284,0.9832272231355416,0.01677277686445844,-0.39814825091745093,0.5435080528259277,2.4996332716163634,1.0775039536275433,0.7935569214601992,0.2,1.0,2.6,3.4,3.0,
32,211b1474dccb,1.4815764515885221,0.5437061671503095,-0.35849976779727405,0.35849976779727405,0.4119528629859353,0.9822674690727099,0.9813777387429422,0.018622261257057793,-0.4000497353883865,0.5448489189147949,2.4996332716163634,1.0775039536275433,0.7860755889566456,0.2,1.0,2.6,3.4,3.0,
33,cddaed64ee2b,1.481341481217273,0.5451391496440345,-0.36009277300171,0.36009277300171,0.41246482188875827,0.9822473612006066,0.9827008886582281,0.017299111341771867,-0.39869053004548766,0.5461025238037109,2.4996332716163634,1.0775039536275433,0.791429449948148,0.2,1.0,2.6,3.4,3.0,
34,1812b6bca45c,1.4813422228602697,0.545049180534892,-0.35999370373686357,0.35999370373686357,0.41243189325352975,0.9822486475132052,0.9826184499004225,0.017381550099577536,-0.3987753980408802,0.5437240600585938,2.4996332716163634,1.0775039536275433,0.7910961137754571,0.2,1.0,2.6,3.4,3.0,
35,4f0708707be5,1.481342561778761,0.5452292124234384,-0.36019182102778974,0.36019182102778974,0.41249788824074773,0.9822460705187374,0.9827833352262831,0.01721666477371686,-0.39860562338510874,0.5452282428741455,2.4996332716163634,1.0775039536275433,0.791762786120839,0.2,1.0,2.6,3.4,3.0,
36,a641ceae92b2,5.504530071342162,1.1122144419874247,-0.8246169455746531,0.8246169455746531,0.7521511937890871,0.9774292675093869,1.2203404274948666,0.2203404274948666,-0.3329936408079748,0.547673225402832,2.4996332716163634,1.0775039536275433,0.791429449948148,0.9549150281252627,1.0,2.6,3.4,3.0,
37,39e9d2280ae2,9.593012745470219,1.6839821964502093,-1.1767049012296953,1.1767049012296953,1.2140164799509099,0.9684685977813595,1.4179465956958683,0.41794659569586834,-0.24418294450991684,0.5456125736236572,2.4996332716163634,1.0775039536275433,0.791429449948148,1.545084971874737,1.0,2.6,3.4,3.0,
38,60f56c4d772a,3.14247285726667,0.7915681945045948,-0.5983515440042338,0.5983515440042338,0.5222564677979685,0.9813494865137868,1.1018177604259412,0.10181776042594115,-0.37117587572743116,0.5474941730499268,2.4996332716163634,1.0775039536275433,0.791429449948148,0.5901699437494743,1.0,2.6,3.4,3.0,
39,3835519f8f9c,1.945322866300896,0.6302461859044818,-0.4596128803559353,0.4596128803559353,0.434594037917399,0.9824277236336363,1.0317953242446065,0.031795324244606515,-0.388671189995344,0.5705282688140869,2.4996332716163634,1.0775039536275433,0.791429449948148,0.3647450843757887,1.0,2.6,3.4,3.0,
40,a26d4510b53d,1.5141266559307425,0.5559301594334911,-0.3753143726464003,0.3753143726464003,0.4133104755815967,0.9823382352456951,0.9901504470709787,0.009849552929021343,-0.39729068365066594,0.5531089305877686,2.4996332716163634,1.0775039536275433,0.791429449948148,0.22542485937368567,1.0,2.6,3.4,3.0,
41,ad93dc5eff0b,1.4718141816368921,0.5233349818980539,-0.3239964470546289,0.3239964470546289,0.4141798628450092,0.9819282097213728,0.9651195677347919,0.034880432265208094,-0.4018216268315534,0.5452713966369629,2.4996332716163634,1.0775039536275433,0.791429449948148,0.1393202250021031,1.0,2.6,3.4,3.0,
42,45ba3dc7c4b3,1.4640402926052467,0.5304996448200279,-0.3369128935423584,0.3369128935423584,0.41296890764735794,0.9820597761882862,0.9713971499230276,0.028602850076972386,-0.4007315392646231,0.5457291603088379,2.4996332716163634,1.0775039536275433,0.791429449948148,0.16109896220904776,1.0,2.6,3.4,3.0,
43,e0e411c22d3c,1.4639432450121739,0.5314204441124123,-0.33848360478381884,0.33848360478381884,0.41286678676657135,0.9820744285452806,0.9721615637428394,0.027838436257160648,-0.40059669128312286,0.5435688495635986,2.4996332716163634,1.0775039536275433,0.791429449948148,0.16374225647195922,1.0,2.6,3.4,3.0,
44,d9c01a5c9486,1.4639442129474451,0.5315373538389384,-0.3386817481407912,0.3386817481407912,0.4128546028899714,0.9820762563740968,0.9722579996105599,0.02774200038944008,-0.4005796670445428,0.5457165241241455,2.4996332716163634,1.0775039536275433,0.791429449948148,0.1640755903430818,1.0,2.6,3.4,3.0,
45,1e8c795f12e5,1.4639452675634022,0.5313037164264155,-0.3382854874926269,0.3382854874926269,0.4128791235531629,0.9820725965008605,0.9720651378358827,0.027934862164117336,-0.40061371936303664,0.5482211112976074,2.4996332716163634,1.0775039536275433,0.791429449948148,0.16340892260083664,1.0,2.6,3.4,3.0,
46,b83f7491efac,1.4639432450121739,0.5314204441124123,-0.33848360478381884,0.33848360478381884,0.41286678676657135,0.9820744285452806,0.9721615637428394,0.027838436257160648,-0.40059669128312286,0.5428404808044434,2.4996332716163634,1.0775039536275433,0.791429449948148,0.16374225647195922,1.5278640450004204,2.6,3.4,3.0,
47,31c07f1c2423,1.4639432450121739,0.5314204441124123,-0.33848360478381884,0.33848360478381884,0.41286678676657135,0.9820744285452806,0.9721615637428394,0.027838436257160648,-0.40059669128312286,0.5461950302124023,2.4996332716163634,1.0775039536275433,0.791429449948148,0.16374225647195922,2.472135954999579,2.6,3.4,3.0,
48,d212669a8de0,1.4639432450121739,0.5314204441124123,-0.33848360478381884,0.33848360478381884,0.41286678676657135,0.9820744285452806,0.9721615637428394,0.027838436257160648,-0.40059669128312286,0.5454244613647461,2.4996332716163634,1.0775039536275433,0.791429449948148,0.16374225647195922,3.055728090000841,2.6,3.4,3.0,
49,3fcc5ef8dae6,1.4639432450121739,0.5314204441124123,-0.33848360478381884,0.33848360478381884,0.41286678676657135,0.9820744285452806,0.9721615637428394,0.027838436257160648,-0.40059669128312286,0.5438666343688965,2.4996332716163634,1.0775039536275433,0.791429449948148,0.16374225647195922,3.416407864998738,2.6,3.4,3.0,
50,6f4f25f27d56,1.4639432450121739,0.5314204441124123,-0.33848360478381884,0.33848360478381884,0.41286678676657135,0.9820744285452806,0.9721615637428394,0.027838436257160648,-0.40059669128312286,0.5449144840240479,2.4996332716163634,1.0775039536275433,0.791429449948148,0.16374225647195922,3.639320225002103,2.6,3.4,3.0,
51,06cd05dc735f,1.4639432450121739,0.5314204441124123,-0.33848360478381884,0.33848360478381884,0.41286678676657135,0.9820744285452806,0.9721615637428394,0.027838436257160648,-0.40059669128312286,0.546205997467041,2.4996332716163634,1.0775039536275433,0.791429449948148,0.16374225647195922,3.777087639996635,2.6,3.4,3.0,
52,9b6f6b49bad3,1.4639432450121739,0.5314204441124123,-0.33848360478381884,0.33848360478381884,0.41286678676657135,0.9820744285452806,0.9721615637428394,0.027838436257160648,-0.40059669128312286,0.5449817180633545,2.4996332716163634,1.0775039536275433,0.791429449948148,0.16374225647195922,3.8622325850054677,2.6,3.4,3.0,
53,863dc49bc8cb,1.4639432450121739,0.5314204441124123,-0.33848360478381884,0.33848360478381884,0.41286678676657135,0.9820744285452806,0.9721615637428394,0.027838436257160648,-0.40059669128312286,0.5467946529388428,2.4996332716163634,1.0775039536275433,0.791429449948148,0.16374225647195922,3.914855054991167,2.6,3.4,3.0,
54,2962ab312f75,1.4639432450121739,0.5314204441124123,-0.33848360478381884,0.33848360478381884,0.41286678676657135,0.9820744285452806,0.9721615637428394,0.027838436257160648,-0.40059669128312286,0.5462765693664551,2.4996332716163634,1.0775039536275433,0.791429449948148,0.16374225647195922,3.9473775300143004,2.6,3.4,3.0,
55,7d9111e26a4f,1.4639432450121739,0.5314204441124123,-0.33848360478381884,0.33848360478381884,0.41286678676657135,0.9820744285452806,0.9721615637428394,0.027838436257160648,-0.40059669128312286,0.5473239421844482,2.4996332716163634,1.0775039536275433,0.791429449948148,0.16374225647195922,3.9674775249768666,2.6,3.4,3.0,
56,b5d2a3e90a50,1.4639432450121739,0.5314204441124123,-0.33848360478381884,0.33848360478381884,0.41286678676657135,0.9820744285452806,0.9721615637428394,0.027838436257160648,-0.40059669128312286,0.5431993007659912,2.4996332716163634,1.0775039536275433,0.791429449948148,0.16374225647195922,3.979900005037434,2.6,3.4,3.0,
57,6ebe3cc598a0,1.4639432450121739,0.5314204441124123,-0.33848360478381884,0.33848360478381884,0.41286678676657135,0.9820744285452806,0.9721615637428394,0.027838436257160648,-0.40059669128312286,0.5418167114257812,2.4996332716163634,1.0775039536275433,0.791429449948148,0.16374225647195922,3.9875775199394323,2.6,3.4,3.0,
58,67775941f7df,1.4639432450121739,0.5314204441124123,-0.33848360478381884,0.33848360478381884,0.41286678676657135,0.9820744285452806,0.9721615637428394,0.027838436257160648,-0.40059669128312286,0.543938159942627,2.4996332716163634,1.0775039536275433,0.791429449948148,0.16374225647195922,3.9923224850980015,2.6,3.4,3.0,
59,d91789138b32,1.4639432450121739,0.5314204441124123,-0.33848360478381884,0.33848360478381884,0.41286678676657135,0.9820744285452806,0.9721615637428394,0.027838436257160648,-0.40059669128312286,0.5462267398834229,2.4996332716163634,1.0775039536275433,0.791429449948148,0.16374225647195922,3.9952550348414313,2.6,3.4,3.0,
60,33c34a96ba19,1.4639432450121739,0.5314204441124123,-0.33848360478381884,0.33848360478381884,0.41286678676657135,0.9820744285452806,0.9721615637428394,0.027838436257160648,-0.40059669128312286,0.5414509773254395,2.4996332716163634,1.0775039536275433,0.791429449948148,0.16374225647195922,3.9970674502565706,2.6,3.4,3.0,
61,18da48ba30ef,1.4639432450121739,0.5314204441124123,-0.33848360478381884,0.33848360478381884,0.41286678676657135,0.9820744285452806,0.9721615637428394,0.027838436257160648,-0.40059669128312286,0.5484650135040283,2.4996332716163634,1.0775039536275433,0.791429449948148,0.16374225647195922,3.9981875845848607,2.6,3.4,3.0,
62,5b7250232ee5,1.4639432450121739,0.5314204441124123,-0.33848360478381884,0.33848360478381884,0.41286678676657135,0.9820744285452806,0.9721615637428394,0.027838436257160648,-0.40059669128312286,0.5384023189544678,2.4996332716163634,1.0775039536275433,0.791429449948148,0.16374225647195922,3.9988798656717095,2.6,3.4,3.0,
63,937db64a7085,1.4639432450121739,0.5314204441124123,-0.33848360478381884,0.33848360478381884,0.41286678676657135,0.9820744285452806,0.9721615637428394,0.027838436257160648,-0.40059669128312286,0.5399742126464844,2.4996332716163634,1.0775039536275433,0.791429449948148,0.16374225647195922,3.9993077189131507,2.6,3.4,3.0,
64,17318c17b29c,1.4639432450121739,0.5314204441124123,-0.33848360478381884,0.33848360478381884,0.41286678676657135,0.9820744285452806,0.9721615637428394,0.027838436257160648,-0.40059669128312286,0.5391592979431152,2.4996332716163634,1.0775039536275433,0.791429449948148,0.16374225647195922,3.9996410967334066,2.6,3.4,3.0,
65,2f2dca413046,1.4700463452974186,0.5335904170101291,-0.34161895780246787,0.34161895780246787,0.41308650258743757,0.9820616394476319,0.9728992592332982,0.02710074076670177,-0.4020860989840906,0.5479981899261475,2.4996332716163634,1.0775039536275433,0.791429449948148,0.16374225647195922,3.9996410967334066,2.218847050625473,3.4,3.0,
66,9f6978f908ae,1.452358508410111,0.5321511996657476,-0.33347424299201056,0.33347424299201056,0.4179318286371033,0.981626957789958,0.9712743970852773,0.028725602914722703,-0.39756677470265483,0.5479934215545654,2.4996332716163634,1.0775039536275433,0.791429449948148,0.16374225647195922,3.9996410967334066,3.2811529493745266,3.4,3.0,
67,39965c09fa81,1.440792196680956,0.5375767602287533,-0.32952782239399214,0.32952782239399214,0.4280408162016093,0.9807294997936492,0.9709111369116499,0.029088863088350125,-0.3944308597802368,0.549353837966919,2.4996332716163634,1.0775039536275433,0.791429449948148,0.16374225647195922,3.9996410967334066,3.937694101250946,3.4,3.0,
68,4c7888c9a996,1.4337332690777147,0.5427451510765762,-0.3275850578893836,0.3275850578893836,0.43610351007903647,0.980002386635725,0.9709053456618738,0.02909465433812619,-0.39250101670537196,0.5506393909454346,2.4996332716163634,1.0775039536275433,0.791429449948148,0.16374225647195922,3.9996410967334066,4.34345884812358,3.4,3.0,
69,cfbb87cea967,1.42950380462307,0.5464842700107855,-0.32658821564699814,0.32658821564699814,0.4415710174343511,0.9795034331626448,0.9709774516177512,0.029022548382248825,-0.39134329173835475,0.5450365543365479,2.4996332716163634,1.0775039536275433,0.791429449948148,0.16374225647195922,3.9996410967334066,4.594235253127366,3.4,3.0,
70,42ac01756c64,1.4269652519277296,0.5489691233901425,-0.32605240847605593,0.32605240847605593,0.44508953011893787,0.9791798562720693,0.9710488747610486,0.02895112523895138,-0.3906481253334142,0.5444276332855225,2.4996332716163634,1.0775039536275433,0.791429449948148,0.16374225647195922,3.9996410967334066,4.749223594996215,3.4,3.0,
71,2188fdd1fca9,1.425430705688018,0.5505635490059974,-0.3257523662697549,0.3257523662697549,0.44730731062105733,0.9789749125372592,0.9711028102303733,0.02889718976962674,-0.39022774237087937,0.5475730895996094,2.4996332716163634,1.0775039536275433,0.791429449948148,0.16374225647195922,3.9996410967334066,4.845011658131151,3.4,3.0,
72,1a6887291cd9,1.4244970952575082,0.5515696130367237,-0.3255788589339516,0.3255788589339516,0.44869226476869295,0.9788465450662696,0.9711397123956926,0.028860287604307366,-0.3899718989668675,0.5451350212097168,2.4996332716163634,1.0775039536275433,0.791429449948148,0.16374225647195922,3.9996410967334066,4.904211936865063,3.4,3.0,
73,d5e65adc872e,1.4239256457236826,0.5521988426746574,-0.3254761829386302,0.3254761829386302,0.4495531297231881,0.9787666063275955,0.9711638978888965,0.028836102111103545,-0.3898152603273261,0.5501885414123535,2.4996332716163634,1.0775039536275433,0.791429449948148,0.16374225647195922,3.9996410967334066,4.940799721266088,3.4,3.0,
74,2ba6609bab2e,1.4235750622505012,0.5525905514610094,-0.32541448620692287,0.32541448620692287,0.45008701298494347,0.9787169734187521,0.971179323718532,0.028820676281468005,-0.38971914550253184,0.5474386215209961,2.4996332716163634,1.0775039536275433,0.791429449948148,0.16374225647195922,3.9996410967334066,4.963412215598975,3.4,3.0,
75,d659ae5c39fb,1.423359112292801,0.552833623208566,-0.3253770287181676,0.3253770287181676,0.4504175539951978,0.9786862230018902,0.9711890737103291,0.028810926289670857,-0.38965993384345365,0.5476438999176025,2.4996332716163634,1.0775039536275433,0.791429449948148,0.16374225647195922,3.9996410967334066,4.977387505667114,3.4,3.0,
76,7101ce4271a9,1.4232258861550349,0.5529842347212213,-0.32535409276453986,0.32535409276453986,0.45062210611332515,0.9786671850014189,0.9711951674122381,0.028804832587761897,-0.3896234016292361,0.5458347797393799,2.4996332716163634,1.0775039536275433,0.791429449948148,0.16374225647195922,3.9996410967334066,4.986024709931861,3.4,3.0,
77,a8986c82f59d,1.4231440191130582,0.5530774857163421,-0.3253400780636008,0.3253400780636008,0.4507485964823587,0.9786554089794063,0.9711989480736211,0.02880105192637894,-0.38960095152102997,0.5409576892852783,2.4996332716163634,1.0775039536275433,0.791429449948148,0.16374225647195922,3.9996410967334066,4.9913627957352515,3.4,3.0,
78,caa9b10fdbcd,1.4230932710064121,0.5531351569355006,-0.3253314155375221,0.3253314155375221,0.4508268128820514,0.9786481260657136,0.9712013030236886,0.028798696976311433,-0.38958703463310856,0.5458683967590332,2.4996332716163634,1.0775039536275433,0.791429449948148,0.16374225647195922,3.9996410967334066,4.99466191419661,3.4,3.0,
79,8442cccc9317,1.4230619629908177,0.5531708254591957,-0.32532608556821696,0.32532608556821696,0.45087516482226847,0.9786436234359823,0.971202762315933,0.028797237684066945,-0.38957844869265,0.5478858947753906,2.4996332716163634,1.0775039536275433,0.791429449948148,0.16374225647195922,3.9996410967334066,4.996700881538642,3.4,3.0,
80,765385e03c99,1.4230425865375194,0.5531928732751068,-0.32532279066096886,0.32532279066096886,0.4509050516691802,0.9786408401561669,0.9712036671985674,0.028796332801432567,-0.38957313481232314,0.5427794456481934,2.4996332716163634,1.0775039536275433,0.791429449948148,0.16374225647195922,3.9996410967334066,4.997961032657968,3.4,3.0,
81,a171bd647521,1.423030707293088,0.5532065201022985,-0.32532078166489786,0.32532078166489786,0.4509235278247932,0.9786391194523458,0.9712042269521157,0.028795773047884277,-0.3895698768947883,0.5473175048828125,2.4996332716163634,1.0775039536275433,0.791429449948148,0.16374225647195922,3.9996410967334066,4.998739848880673,3.4,3.0,
82,476f7bede85f,1.423023284454373,0.553214927403583,-0.3253194976845023,0.3253194976845023,0.45093494405633144,0.9786380560915832,0.9712045637765218,0.028795436223478243,-0.38956784139217066,0.5464193820953369,2.4996332716163634,1.0775039536275433,0.791429449948148,0.16374225647195922,3.9996410967334066,4.999221183777295,3.4,3.0,
83,9cbbdb4df7c5,1.4230181553162682,0.5532207590324324,-0.3253186249630471,0.3253186249630471,0.45094284960404846,0.9786373198039292,0.9712048030743775,0.02879519692562249,-0.3895664347496186,0.5457110404968262,2.4996332716163634,1.0775039536275433,0.791429449948148,0.16374225647195922,3.9996410967334066,4.9995545526968295,3.4,3.0,
84,d1bd91259055,1.643581829030711,0.44937368256238813,-0.11752210733354404,0.11752210733354404,0.43710950352128086,0.9807227673096348,0.9212539191875865,0.07874608081241352,-0.29322027097319164,0.5467758178710938,2.4996332716163634,1.0775039536275433,0.791429449948148,0.16374225647195922,3.9996410967334066,4.9995545526968295,2.218847050625473,3.0,
85,c39f65eb88a4,1.39003558195737,0.5371697818790768,-0.3023112999903155,0.3023112999903155,0.44748169323660847,0.9789019534305885,0.9657244633346824,0.034275536665317574,-0.3787868374104647,0.5486502647399902,2.4996332716163634,1.0775039536275433,0.791429449948148,0.16374225647195922,3.9996410967334066,4.9995545526968295,3.2811529493745266,3.0,
86,2c4a20dcd399,1.7384710187416628,0.6392155504239173,-0.43437227233466374,0.43437227233466374,0.4726028522397137,0.9773437093984143,0.9970788925756634,0.0029211074243365998,-0.4408898438119394,0.5518219470977783,2.4996332716163634,1.0775039536275433,0.791429449948148,0.16374225647195922,3.9996410967334066,4.9995545526968295,3.937694101250946,3.0,
