Phase,Run,Method,BSSE,Complex_with_zn,Complex_without_zn,scan_value,Zn_N_distance,E_with_zn,E_without_zn,dE_with_zn_minus_without_zn,dE_shifted_to_min,dE_shifted_to_max
SP_init,run110,mDFTB3D3/optimized_run59 all QM,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,-0.1,4.15973966421436,-24703.1607,-22127.9798,-2575.1808999999994,0.0,-42.3086000000003
SP_init,run110,mDFTB3D3/optimized_run59 all QM,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,0.0,4.259739664185972,-24703.9139,-22132.36,-2571.553899999999,3.6270000000004075,-38.68159999999989
SP_init,run110,mDFTB3D3/optimized_run59 all QM,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,0.1,4.359739664157584,-24703.2631,-22135.0934,-2568.1696999999986,7.0112000000008265,-35.29739999999947
SP_init,run110,mDFTB3D3/optimized_run59 all QM,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,0.2,4.459739664226648,-24701.7349,-22136.5928,-2565.142100000001,10.038799999998446,-32.26980000000185
SP_init,run110,mDFTB3D3/optimized_run59 all QM,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,0.5,4.759739664218344,-24695.3336,-22137.5002,-2557.833400000003,17.347499999996217,-24.96110000000408
SP_init,run110,mDFTB3D3/optimized_run59 all QM,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,1.0,5.259739664162147,-24686.6442,-22136.0587,-2550.5854999999974,24.595400000001973,-17.713199999998324
SP_init,run110,mDFTB3D3/optimized_run59 all QM,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,1.5,5.7597396641945195,-24681.6785,-22135.0847,-2546.5938000000024,28.587099999997008,-13.721500000003289
SP_init,run110,mDFTB3D3/optimized_run59 all QM,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,2.0,6.259739664150032,-24678.3868,-22134.5266,-2543.860199999999,31.320700000000215,-10.987900000000081
SP_init,run110,mDFTB3D3/optimized_run59 all QM,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,2.5,6.7597396641912875,-24675.9219,-22134.1412,-2541.780700000003,33.4001999999964,-8.908400000003894
SP_init,run110,mDFTB3D3/optimized_run59 all QM,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,3.0,7.259739664223659,-24674.0143,-22133.8755,-2540.1388000000006,35.042099999998754,-7.2665000000015425
SP_init,run110,mDFTB3D3/optimized_run59 all QM,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,4.0,8.259739664199834,-24671.3583,-22133.6198,-2537.7384999999995,37.44239999999991,-4.86620000000039
SP_init,run110,mDFTB3D3/optimized_run59 all QM,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,5.0,9.259739664167125,-24669.5576,-22133.4513,-2536.1062999999995,39.07459999999992,-3.2340000000003783
SP_init,run110,mDFTB3D3/optimized_run59 all QM,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,6.0,10.259739664163893,-24668.3265,-22133.3948,-2534.931700000001,40.24919999999838,-2.059400000001915
SP_init,run110,mDFTB3D3/optimized_run59 all QM,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,7.0,11.259739664237522,-24667.4017,-22133.3402,-2534.0615,41.11939999999959,-1.1892000000007101
SP_init,run110,mDFTB3D3/optimized_run59 all QM,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,8.0,12.259739664204812,-24666.7266,-22133.334,-2533.392600000003,41.788299999996525,-0.5203000000037719
SP_init,run110,mDFTB3D3/optimized_run59 all QM,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,9.0,13.259739664180987,-24666.164,-22133.2917,-2532.872299999999,42.3086000000003,0.0
SP_init,run41,M052X D3 aug-cc-pVTZ,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,-0.1,4.15973966421436,-1546175.2354,-429810.0674,-1116365.1679999998,0.0,-40.679699999978766
SP_init,run41,M052X D3 aug-cc-pVTZ,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,0.0,4.259739664185972,-1546174.6099,-429812.2352,-1116362.3747,2.793299999786541,-37.886400000192225
SP_init,run41,M052X D3 aug-cc-pVTZ,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,0.1,4.359739664157584,-1546173.3836,-429813.6724,-1116359.7112,5.456799999810755,-35.22290000016801
SP_init,run41,M052X D3 aug-cc-pVTZ,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,0.2,4.459739664226648,-1546171.6128,-429814.3597,-1116357.2531,7.914899999741465,-32.7648000002373
SP_init,run41,M052X D3 aug-cc-pVTZ,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,0.5,4.759739664218344,-1546165.7155,-429814.7967,-1116350.9187999999,14.249199999962002,-26.430500000016764
SP_init,run41,M052X D3 aug-cc-pVTZ,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,1.0,5.259739664162147,-1546156.8792,-429813.3451,-1116343.5341,21.633899999782443,-19.045800000196323
SP_init,run41,M052X D3 aug-cc-pVTZ,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,1.5,5.7597396641945195,-1546150.6728,-429811.9474,-1116338.7254,26.442599999718368,-14.237100000260398
SP_init,run41,M052X D3 aug-cc-pVTZ,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,2.0,6.259739664150032,-1546146.5238,-429811.052,-1116335.4718,29.69619999988936,-10.983500000089407
SP_init,run41,M052X D3 aug-cc-pVTZ,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,2.5,6.7597396641912875,-1546143.6901,-429810.5342,-1116333.1559000001,32.012099999701604,-8.667600000277162
SP_init,run41,M052X D3 aug-cc-pVTZ,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,3.0,7.259739664223659,-1546141.6938,-429810.2692,-1116331.4246,33.74339999980293,-6.936300000175834
SP_init,run41,M052X D3 aug-cc-pVTZ,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,4.0,8.259739664199834,-1546139.0333,-429810.0061,-1116329.0272,36.14079999993555,-4.538900000043213
SP_init,run41,M052X D3 aug-cc-pVTZ,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,5.0,9.259739664167125,-1546137.3488,-429809.8757,-1116327.4731,37.694899999769405,-2.9848000002093613
SP_init,run41,M052X D3 aug-cc-pVTZ,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,6.0,10.259739664163893,-1546136.1575,-429809.7848,-1116326.3727,38.795299999881536,-1.88440000009723
SP_init,run41,M052X D3 aug-cc-pVTZ,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,7.0,11.259739664237522,-1546135.3481,-429809.7793,-1116325.5688,39.599199999822304,-1.0805000001564622
SP_init,run41,M052X D3 aug-cc-pVTZ,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,8.0,12.259739664204812,-1546134.6806,-429809.7316,-1116324.949,40.21899999980815,-0.4607000001706183
SP_init,run41,M052X D3 aug-cc-pVTZ,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,9.0,13.259739664180987,-1546134.2104,-429809.7221,-1116324.4882999999,40.679699999978766,0.0
SP_init,run8,mDFTB3D3/3ob_prime,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,-0.1,4.15973966421436,-24707.98,-22228.7046,-2479.2753999999986,0.0,-35.22129999999743
SP_init,run8,mDFTB3D3/3ob_prime,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,0.0,4.259739664185972,-24706.9596,-22231.4699,-2475.4896999999983,3.785700000000361,-31.435599999997066
SP_init,run8,mDFTB3D3/3ob_prime,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,0.1,4.359739664157584,-24705.419,-22233.4407,-2471.9783000000025,7.297099999996135,-27.924200000001292
SP_init,run8,mDFTB3D3/3ob_prime,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,0.2,4.459739664226648,-24703.426,-22234.5732,-2468.8528000000006,10.422599999998056,-24.79869999999937
SP_init,run8,mDFTB3D3/3ob_prime,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,0.5,4.759739664218344,-24696.1873,-22234.6709,-2461.5164000000004,17.758999999998196,-17.46229999999923
SP_init,run8,mDFTB3D3/3ob_prime,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,1.0,5.259739664162147,-24687.791,-22232.758,-2455.0329999999994,24.24239999999918,-10.978899999998248
SP_init,run8,mDFTB3D3/3ob_prime,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,1.5,5.7597396641945195,-24684.026,-22231.8722,-2452.1538,27.12159999999858,-8.099699999998847
SP_init,run8,mDFTB3D3/3ob_prime,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,2.0,6.259739664150032,-24681.903,-22231.4893,-2450.4136999999973,28.861700000001292,-6.359599999996135
SP_init,run8,mDFTB3D3/3ob_prime,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,2.5,6.7597396641912875,-24680.3821,-22231.236,-2449.146099999998,30.129300000000512,-5.091999999996915
SP_init,run8,mDFTB3D3/3ob_prime,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,3.0,7.259739664223659,-24679.2593,-22231.0894,-2448.169900000001,31.105499999997846,-4.115799999999581
SP_init,run8,mDFTB3D3/3ob_prime,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,4.0,8.259739664199834,-24677.712,-22230.9402,-2446.7717999999986,32.503600000000006,-2.7176999999974214
SP_init,run8,mDFTB3D3/3ob_prime,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,5.0,9.259739664167125,-24676.687,-22230.8423,-2445.8447000000015,33.43069999999716,-1.7906000000002678
SP_init,run8,mDFTB3D3/3ob_prime,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,6.0,10.259739664163893,-24675.9974,-22230.8106,-2445.1867999999995,34.08859999999913,-1.1326999999982945
SP_init,run8,mDFTB3D3/3ob_prime,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,7.0,11.259739664237522,-24675.5007,-22230.7952,-2444.7055,34.5698999999986,-0.65139999999883
SP_init,run8,mDFTB3D3/3ob_prime,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,8.0,12.259739664204812,-24675.1288,-22230.7908,-2444.3379999999997,34.93739999999889,-0.283899999998539
SP_init,run8,mDFTB3D3/3ob_prime,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,9.0,13.259739664180987,-24674.8336,-22230.7795,-2444.054100000001,35.22129999999743,0.0
SP_init,run110,mDFTB3D3/optimized_run59 all QM,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,-0.1,3.728295895876256,-24705.8353,-22132.8475,-2572.987799999999,0.0,-41.90219999999681
SP_init,run110,mDFTB3D3/optimized_run59 all QM,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,0.0,3.828295895824202,-24706.4832,-22136.1444,-2570.3387999999977,2.6490000000012515,-39.25319999999556
SP_init,run110,mDFTB3D3/optimized_run59 all QM,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,0.1,3.9282958957721466,-24705.9885,-22138.1402,-2567.848299999998,5.139500000001135,-36.762699999995675
SP_init,run110,mDFTB3D3/optimized_run59 all QM,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,0.2,4.028295895837491,-24704.7342,-22139.3297,-2565.4045000000006,7.583299999998417,-34.31889999999839
SP_init,run110,mDFTB3D3/optimized_run59 all QM,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,0.5,4.328295895798726,-24699.0171,-22139.9375,-2559.079600000001,13.908199999998033,-27.993999999998778
SP_init,run110,mDFTB3D3/optimized_run59 all QM,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,1.0,4.828295895859111,-24690.0684,-22138.2538,-2551.8146000000015,21.17319999999745,-20.72899999999936
SP_init,run110,mDFTB3D3/optimized_run59 all QM,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,1.5,5.328295895833635,-24684.0808,-22136.7944,-2547.286400000001,25.701399999998102,-16.200799999998708
SP_init,run110,mDFTB3D3/optimized_run59 all QM,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,2.0,5.828295895808158,-24679.8582,-22135.8615,-2543.9966999999997,28.99109999999928,-12.911099999997532
SP_init,run110,mDFTB3D3/optimized_run59 all QM,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,2.5,6.328295895785606,-24676.6798,-22135.1765,-2541.5033000000003,31.48449999999866,-10.417699999998149
SP_init,run110,mDFTB3D3/optimized_run59 all QM,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,3.0,6.828295895843068,-24674.2559,-22134.7244,-2539.531500000001,33.45629999999801,-8.445899999998801
SP_init,run110,mDFTB3D3/optimized_run59 all QM,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,4.0,7.82829589579504,-24670.8682,-22134.1759,-2536.6923000000024,36.29549999999654,-5.606700000000274
SP_init,run110,mDFTB3D3/optimized_run59 all QM,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,5.0,8.828295895827024,-24668.6582,-22133.8746,-2534.7836000000025,38.20419999999649,-3.69800000000032
SP_init,run110,mDFTB3D3/optimized_run59 all QM,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,6.0,9.828295895861935,-24667.174,-22133.7477,-2533.426299999999,39.561499999999796,-2.340699999997014
SP_init,run110,mDFTB3D3/optimized_run59 all QM,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,7.0,10.828295895813906,-24666.0856,-22133.6558,-2532.429799999998,40.5580000000009,-1.344199999995908
SP_init,run110,mDFTB3D3/optimized_run59 all QM,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,8.0,11.82829589584589,-24665.2639,-22133.5895,-2531.6744000000035,41.313399999995454,-0.5888000000013562
SP_init,run110,mDFTB3D3/optimized_run59 all QM,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,9.0,12.828295895797863,-24664.6464,-22133.5608,-2531.085600000002,41.90219999999681,0.0
SP_init,run41,M052X D3 aug-cc-pVTZ,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,-0.1,3.728295895876256,-1546176.603,-429812.8042,-1116363.7988,0.0,-42.01980000012554
SP_init,run41,M052X D3 aug-cc-pVTZ,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,0.0,3.828295895824202,-1546177.0339,-429815.3225,-1116361.7114,2.087400000076741,-39.9324000000488
SP_init,run41,M052X D3 aug-cc-pVTZ,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,0.1,3.9282958957721466,-1546176.5593,-429816.845,-1116359.7143,4.084499999880791,-37.93530000024475
SP_init,run41,M052X D3 aug-cc-pVTZ,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,0.2,4.028295895837491,-1546175.5391,-429817.815,-1116357.7241,6.074699999997392,-35.94510000012815
SP_init,run41,M052X D3 aug-cc-pVTZ,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,0.5,4.328295895798726,-1546170.4038,-429818.1988,-1116352.205,11.593799999915063,-30.42600000021048
SP_init,run41,M052X D3 aug-cc-pVTZ,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,1.0,4.828295895859111,-1546160.4478,-429815.8757,-1116344.5721,19.226699999999255,-22.793100000126287
SP_init,run41,M052X D3 aug-cc-pVTZ,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,1.5,5.328295895833635,-1546152.5769,-429813.5586,-1116339.0183,24.780499999877065,-17.239300000248477
SP_init,run41,M052X D3 aug-cc-pVTZ,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,2.0,5.828295895808158,-1546147.0473,-429812.0515,-1116334.9958,28.803000000072643,-13.2168000000529
SP_init,run41,M052X D3 aug-cc-pVTZ,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,2.5,6.328295895785606,-1546143.2348,-429811.1331,-1116332.1017,31.697099999990314,-10.322700000135228
SP_init,run41,M052X D3 aug-cc-pVTZ,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,3.0,6.828295895843068,-1546140.5601,-429810.6086,-1116329.9515,33.8473000000231,-8.172500000102445
SP_init,run41,M052X D3 aug-cc-pVTZ,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,4.0,7.82829589579504,-1546137.1275,-429810.0741,-1116327.0533999999,36.74540000013076,-5.274399999994785
SP_init,run41,M052X D3 aug-cc-pVTZ,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,5.0,8.828295895827024,-1546134.9939,-429809.7919,-1116325.2019999998,38.59680000017397,-3.4229999999515712
SP_init,run41,M052X D3 aug-cc-pVTZ,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,6.0,9.828295895861935,-1546133.6217,-429809.6982,-1116323.9235,39.87529999995604,-2.1445000001695007
SP_init,run41,M052X D3 aug-cc-pVTZ,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,7.0,10.828295895813906,-1546132.6016,-429809.6004,-1116323.0011999998,40.7976000001654,-1.2221999999601394
SP_init,run41,M052X D3 aug-cc-pVTZ,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,8.0,11.82829589584589,-1546131.888,-429809.5774,-1116322.3106,41.48820000002161,-0.5316000001039356
SP_init,run41,M052X D3 aug-cc-pVTZ,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,9.0,12.828295895797863,-1546131.3431,-429809.5641,-1116321.7789999999,42.01980000012554,0.0
SP_init,run8,mDFTB3D3/3ob_prime,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,-0.1,3.728295895876256,-24707.7516,-22231.5199,-2476.2317000000003,0.0,-33.16609999999855
SP_init,run8,mDFTB3D3/3ob_prime,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,0.0,3.828295895824202,-24707.8881,-22234.3576,-2473.5305000000008,2.701199999999517,-30.464899999999034
SP_init,run8,mDFTB3D3/3ob_prime,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,0.1,3.9282958957721466,-24706.9612,-22235.9543,-2471.0069000000003,5.224799999999959,-27.94129999999859
SP_init,run8,mDFTB3D3/3ob_prime,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,0.2,4.028295895837491,-24705.2883,-22236.7088,-2468.5795,7.652200000000448,-25.513899999998102
SP_init,run8,mDFTB3D3/3ob_prime,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,0.5,4.328295895798726,-24698.7584,-22236.2407,-2462.5177000000003,13.713999999999942,-19.45209999999861
SP_init,run8,mDFTB3D3/3ob_prime,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,1.0,4.828295895859111,-24690.2653,-22233.9664,-2456.298899999998,19.932800000002317,-13.233299999996234
SP_init,run8,mDFTB3D3/3ob_prime,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,1.5,5.328295895833635,-24685.7124,-22232.7274,-2452.9850000000006,23.24669999999969,-9.91939999999886
SP_init,run8,mDFTB3D3/3ob_prime,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,2.0,5.828295895808158,-24682.8416,-22232.0511,-2450.790499999999,25.441200000001118,-7.724899999997433
SP_init,run8,mDFTB3D3/3ob_prime,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,2.5,6.328295895785606,-24680.8537,-22231.6602,-2449.193500000001,27.03819999999905,-6.127899999999499
SP_init,run8,mDFTB3D3/3ob_prime,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,3.0,6.828295895843068,-24679.3613,-22231.3912,-2447.9701000000023,28.261599999997998,-4.904500000000553
SP_init,run8,mDFTB3D3/3ob_prime,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,4.0,7.82829589579504,-24677.3453,-22231.084,-2446.261300000002,29.970399999998335,-3.1957000000002154
SP_init,run8,mDFTB3D3/3ob_prime,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,5.0,8.828295895827024,-24676.0782,-22230.9295,-2445.1487000000016,31.08299999999872,-2.083099999999831
SP_init,run8,mDFTB3D3/3ob_prime,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,6.0,9.828295895861935,-24675.2595,-22230.8875,-2444.3719999999994,31.859700000000885,-1.3063999999976659
SP_init,run8,mDFTB3D3/3ob_prime,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,7.0,10.828295895813906,-24674.6518,-22230.8406,-2443.8112,32.420500000000175,-0.745599999998376
SP_init,run8,mDFTB3D3/3ob_prime,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,8.0,11.82829589584589,-24674.2029,-22230.8117,-2443.391200000002,32.84049999999843,-0.32560000000012224
SP_init,run8,mDFTB3D3/3ob_prime,no,1Zn_1ImH_6Wat_2Hbond,1ImH_6Wat_2Hbond,9.0,12.828295895797863,-24673.8728,-22230.8072,-2443.0656000000017,33.16609999999855,0.0
