id	formula_id	formula	n_MIm+n_MImH	n_MIm	n_MImH	n_MeOH	CN	charge	geometry	isomerid	msmiles
70	25	1Zn_2MIm_1MImH_1MeOH	3	2	1	1	4	0	4_tetrahedral	1	[Zn+2]|Cc1ncc[n-:1]1|Cc1ncc[n-:2]1|Cc1[n:3]cc[nH]1|C[OH:4]|4_tetrahedral
71	26	1Zn_2MIm_1MImH_2MeOH	3	2	1	2	5	0	5_square_pyramidal	1	[Zn+2]|Cc1ncc[n-:1]1|Cc1ncc[n-:2]1|Cc1[n:3]cc[nH]1|C[OH:4]|C[OH:5]|5_square_pyramidal
72	26	1Zn_2MIm_1MImH_2MeOH	3	2	1	2	5	0	5_square_pyramidal	2	[Zn+2]|Cc1ncc[n-:1]1|Cc1ncc[n-:2]1|C[OH:3]|C[OH:4]|Cc1[n:5]cc[nH]1|5_square_pyramidal
73	26	1Zn_2MIm_1MImH_2MeOH	3	2	1	2	5	0	5_square_pyramidal	3	[Zn+2]|Cc1ncc[n-:1]1|Cc1[n:2]cc[nH]1|Cc1ncc[n-:3]1|C[OH:4]|C[OH:5]|5_square_pyramidal
74	26	1Zn_2MIm_1MImH_2MeOH	3	2	1	2	5	0	5_square_pyramidal	4	[Zn+2]|Cc1ncc[n-:1]1|Cc1[n:2]cc[nH]1|C[OH:3]|C[OH:4]|Cc1ncc[n-:5]1|5_square_pyramidal
75	26	1Zn_2MIm_1MImH_2MeOH	3	2	1	2	5	0	5_square_pyramidal	5	[Zn+2]|Cc1ncc[n-:1]1|C[OH:2]|Cc1ncc[n-:3]1|C[OH:4]|Cc1[n:5]cc[nH]1|5_square_pyramidal
76	26	1Zn_2MIm_1MImH_2MeOH	3	2	1	2	5	0	5_square_pyramidal	6	[Zn+2]|Cc1ncc[n-:1]1|C[OH:2]|Cc1[n:3]cc[nH]1|C[OH:4]|Cc1ncc[n-:5]1|5_square_pyramidal
77	26	1Zn_2MIm_1MImH_2MeOH	3	2	1	2	5	0	5_trigonal_bipyramidal	7	[Zn+2]|Cc1ncc[n-:1]1|Cc1ncc[n-:2]1|Cc1[n:3]cc[nH]1|C[OH:4]|C[OH:5]|5_trigonal_bipyramidal
78	26	1Zn_2MIm_1MImH_2MeOH	3	2	1	2	5	0	5_trigonal_bipyramidal	8	[Zn+2]|Cc1ncc[n-:1]1|Cc1[n:2]cc[nH]1|Cc1ncc[n-:3]1|C[OH:4]|C[OH:5]|5_trigonal_bipyramidal
79	26	1Zn_2MIm_1MImH_2MeOH	3	2	1	2	5	0	5_trigonal_bipyramidal	9	[Zn+2]|Cc1ncc[n-:1]1|C[OH:2]|Cc1ncc[n-:3]1|Cc1[n:4]cc[nH]1|C[OH:5]|5_trigonal_bipyramidal
80	26	1Zn_2MIm_1MImH_2MeOH	3	2	1	2	5	0	5_trigonal_bipyramidal	10	[Zn+2]|Cc1[n:1]cc[nH]1|C[OH:2]|Cc1ncc[n-:3]1|Cc1ncc[n-:4]1|C[OH:5]|5_trigonal_bipyramidal
81	26	1Zn_2MIm_1MImH_2MeOH	3	2	1	2	5	0	5_trigonal_bipyramidal	11	[Zn+2]|C[OH:1]|C[OH:2]|Cc1ncc[n-:3]1|Cc1ncc[n-:4]1|Cc1[n:5]cc[nH]1|5_trigonal_bipyramidal
82	27	1Zn_2MIm_1MImH_3MeOH	3	2	1	3	6	0	6_octahedral	1	[Zn+2]|Cc1ncc[n-:1]1|Cc1ncc[n-:2]1|Cc1[n:3]cc[nH]1|C[OH:4]|C[OH:5]|C[OH:6]|6_octahedral
83	27	1Zn_2MIm_1MImH_3MeOH	3	2	1	3	6	0	6_octahedral	2	[Zn+2]|Cc1ncc[n-:1]1|Cc1[n:2]cc[nH]1|Cc1ncc[n-:3]1|C[OH:4]|C[OH:5]|C[OH:6]|6_octahedral
84	27	1Zn_2MIm_1MImH_3MeOH	3	2	1	3	6	0	6_octahedral	3	[Zn+2]|Cc1ncc[n-:1]1|C[OH:2]|Cc1ncc[n-:3]1|C[OH:4]|Cc1[n:5]cc[nH]1|C[OH:6]|6_octahedral
85	28	1Zn_3MIm_0MImH_1MeOH	3	3	0	1	4	-1	4_tetrahedral	1	[Zn+2]|Cc1ncc[n-:1]1|Cc1ncc[n-:2]1|Cc1ncc[n-:3]1|C[OH:4]|4_tetrahedral
86	29	1Zn_3MIm_0MImH_2MeOH	3	3	0	2	5	-1	5_square_pyramidal	1	[Zn+2]|Cc1ncc[n-:1]1|Cc1ncc[n-:2]1|Cc1ncc[n-:3]1|C[OH:4]|C[OH:5]|5_square_pyramidal
87	29	1Zn_3MIm_0MImH_2MeOH	3	3	0	2	5	-1	5_square_pyramidal	2	[Zn+2]|Cc1ncc[n-:1]1|Cc1ncc[n-:2]1|C[OH:3]|C[OH:4]|Cc1ncc[n-:5]1|5_square_pyramidal
88	29	1Zn_3MIm_0MImH_2MeOH	3	3	0	2	5	-1	5_square_pyramidal	3	[Zn+2]|Cc1ncc[n-:1]1|C[OH:2]|Cc1ncc[n-:3]1|C[OH:4]|Cc1ncc[n-:5]1|5_square_pyramidal
89	29	1Zn_3MIm_0MImH_2MeOH	3	3	0	2	5	-1	5_trigonal_bipyramidal	4	[Zn+2]|Cc1ncc[n-:1]1|Cc1ncc[n-:2]1|Cc1ncc[n-:3]1|C[OH:4]|C[OH:5]|5_trigonal_bipyramidal
90	29	1Zn_3MIm_0MImH_2MeOH	3	3	0	2	5	-1	5_trigonal_bipyramidal	5	[Zn+2]|Cc1ncc[n-:1]1|C[OH:2]|Cc1ncc[n-:3]1|Cc1ncc[n-:4]1|C[OH:5]|5_trigonal_bipyramidal
91	29	1Zn_3MIm_0MImH_2MeOH	3	3	0	2	5	-1	5_trigonal_bipyramidal	6	[Zn+2]|C[OH:1]|C[OH:2]|Cc1ncc[n-:3]1|Cc1ncc[n-:4]1|Cc1ncc[n-:5]1|5_trigonal_bipyramidal
92	30	1Zn_3MIm_0MImH_3MeOH	3	3	0	3	6	-1	6_octahedral	1	[Zn+2]|Cc1ncc[n-:1]1|Cc1ncc[n-:2]1|Cc1ncc[n-:3]1|C[OH:4]|C[OH:5]|C[OH:6]|6_octahedral
93	30	1Zn_3MIm_0MImH_3MeOH	3	3	0	3	6	-1	6_octahedral	2	[Zn+2]|Cc1ncc[n-:1]1|C[OH:2]|Cc1ncc[n-:3]1|C[OH:4]|Cc1ncc[n-:5]1|C[OH:6]|6_octahedral
94	31	1Zn_0MIm_4MImH_0MeOH	4	0	4	0	4	2	4_tetrahedral	1	[Zn+2]|Cc1[n:1]cc[nH]1|Cc1[n:2]cc[nH]1|Cc1[n:3]cc[nH]1|Cc1[n:4]cc[nH]1|4_tetrahedral
95	32	1Zn_0MIm_4MImH_1MeOH	4	0	4	1	5	2	5_square_pyramidal	1	[Zn+2]|Cc1[n:1]cc[nH]1|Cc1[n:2]cc[nH]1|Cc1[n:3]cc[nH]1|Cc1[n:4]cc[nH]1|C[OH:5]|5_square_pyramidal
96	32	1Zn_0MIm_4MImH_1MeOH	4	0	4	1	5	2	5_square_pyramidal	2	[Zn+2]|Cc1[n:1]cc[nH]1|Cc1[n:2]cc[nH]1|Cc1[n:3]cc[nH]1|C[OH:4]|Cc1[n:5]cc[nH]1|5_square_pyramidal
97	32	1Zn_0MIm_4MImH_1MeOH	4	0	4	1	5	2	5_trigonal_bipyramidal	3	[Zn+2]|Cc1[n:1]cc[nH]1|Cc1[n:2]cc[nH]1|Cc1[n:3]cc[nH]1|Cc1[n:4]cc[nH]1|C[OH:5]|5_trigonal_bipyramidal
98	32	1Zn_0MIm_4MImH_1MeOH	4	0	4	1	5	2	5_trigonal_bipyramidal	4	[Zn+2]|Cc1[n:1]cc[nH]1|C[OH:2]|Cc1[n:3]cc[nH]1|Cc1[n:4]cc[nH]1|Cc1[n:5]cc[nH]1|5_trigonal_bipyramidal
99	33	1Zn_0MIm_4MImH_2MeOH	4	0	4	2	6	2	6_octahedral	1	[Zn+2]|Cc1[n:1]cc[nH]1|Cc1[n:2]cc[nH]1|Cc1[n:3]cc[nH]1|Cc1[n:4]cc[nH]1|C[OH:5]|C[OH:6]|6_octahedral
100	33	1Zn_0MIm_4MImH_2MeOH	4	0	4	2	6	2	6_octahedral	2	[Zn+2]|Cc1[n:1]cc[nH]1|Cc1[n:2]cc[nH]1|Cc1[n:3]cc[nH]1|C[OH:4]|Cc1[n:5]cc[nH]1|C[OH:6]|6_octahedral
101	34	1Zn_1MIm_3MImH_0MeOH	4	1	3	0	4	1	4_tetrahedral	1	[Zn+2]|Cc1ncc[n-:1]1|Cc1[n:2]cc[nH]1|Cc1[n:3]cc[nH]1|Cc1[n:4]cc[nH]1|4_tetrahedral
102	35	1Zn_1MIm_3MImH_1MeOH	4	1	3	1	5	1	5_square_pyramidal	1	[Zn+2]|Cc1ncc[n-:1]1|Cc1[n:2]cc[nH]1|Cc1[n:3]cc[nH]1|Cc1[n:4]cc[nH]1|C[OH:5]|5_square_pyramidal
103	35	1Zn_1MIm_3MImH_1MeOH	4	1	3	1	5	1	5_square_pyramidal	2	[Zn+2]|Cc1ncc[n-:1]1|Cc1[n:2]cc[nH]1|Cc1[n:3]cc[nH]1|C[OH:4]|Cc1[n:5]cc[nH]1|5_square_pyramidal
104	35	1Zn_1MIm_3MImH_1MeOH	4	1	3	1	5	1	5_square_pyramidal	3	[Zn+2]|Cc1ncc[n-:1]1|C[OH:2]|Cc1[n:3]cc[nH]1|Cc1[n:4]cc[nH]1|Cc1[n:5]cc[nH]1|5_square_pyramidal
105	35	1Zn_1MIm_3MImH_1MeOH	4	1	3	1	5	1	5_square_pyramidal	4	[Zn+2]|Cc1[n:1]cc[nH]1|Cc1[n:2]cc[nH]1|Cc1[n:3]cc[nH]1|C[OH:4]|Cc1ncc[n-:5]1|5_square_pyramidal
106	35	1Zn_1MIm_3MImH_1MeOH	4	1	3	1	5	1	5_trigonal_bipyramidal	5	[Zn+2]|Cc1ncc[n-:1]1|Cc1[n:2]cc[nH]1|Cc1[n:3]cc[nH]1|Cc1[n:4]cc[nH]1|C[OH:5]|5_trigonal_bipyramidal
107	35	1Zn_1MIm_3MImH_1MeOH	4	1	3	1	5	1	5_trigonal_bipyramidal	6	[Zn+2]|Cc1ncc[n-:1]1|C[OH:2]|Cc1[n:3]cc[nH]1|Cc1[n:4]cc[nH]1|Cc1[n:5]cc[nH]1|5_trigonal_bipyramidal
108	35	1Zn_1MIm_3MImH_1MeOH	4	1	3	1	5	1	5_trigonal_bipyramidal	7	[Zn+2]|Cc1[n:1]cc[nH]1|Cc1[n:2]cc[nH]1|Cc1ncc[n-:3]1|Cc1[n:4]cc[nH]1|C[OH:5]|5_trigonal_bipyramidal
109	35	1Zn_1MIm_3MImH_1MeOH	4	1	3	1	5	1	5_trigonal_bipyramidal	8	[Zn+2]|Cc1[n:1]cc[nH]1|C[OH:2]|Cc1ncc[n-:3]1|Cc1[n:4]cc[nH]1|Cc1[n:5]cc[nH]1|5_trigonal_bipyramidal
110	36	1Zn_1MIm_3MImH_2MeOH	4	1	3	2	6	1	6_octahedral	1	[Zn+2]|Cc1ncc[n-:1]1|Cc1[n:2]cc[nH]1|Cc1[n:3]cc[nH]1|Cc1[n:4]cc[nH]1|C[OH:5]|C[OH:6]|6_octahedral
111	36	1Zn_1MIm_3MImH_2MeOH	4	1	3	2	6	1	6_octahedral	2	[Zn+2]|Cc1ncc[n-:1]1|Cc1[n:2]cc[nH]1|Cc1[n:3]cc[nH]1|C[OH:4]|Cc1[n:5]cc[nH]1|C[OH:6]|6_octahedral
112	36	1Zn_1MIm_3MImH_2MeOH	4	1	3	2	6	1	6_octahedral	3	[Zn+2]|Cc1ncc[n-:1]1|C[OH:2]|Cc1[n:3]cc[nH]1|Cc1[n:4]cc[nH]1|Cc1[n:5]cc[nH]1|C[OH:6]|6_octahedral
113	37	1Zn_2MIm_2MImH_0MeOH	4	2	2	0	4	0	4_tetrahedral	1	[Zn+2]|Cc1ncc[n-:1]1|Cc1ncc[n-:2]1|Cc1[n:3]cc[nH]1|Cc1[n:4]cc[nH]1|4_tetrahedral
114	38	1Zn_2MIm_2MImH_1MeOH	4	2	2	1	5	0	5_square_pyramidal	1	[Zn+2]|Cc1ncc[n-:1]1|Cc1ncc[n-:2]1|Cc1[n:3]cc[nH]1|Cc1[n:4]cc[nH]1|C[OH:5]|5_square_pyramidal
115	38	1Zn_2MIm_2MImH_1MeOH	4	2	2	1	5	0	5_square_pyramidal	2	[Zn+2]|Cc1ncc[n-:1]1|Cc1ncc[n-:2]1|Cc1[n:3]cc[nH]1|C[OH:4]|Cc1[n:5]cc[nH]1|5_square_pyramidal
116	38	1Zn_2MIm_2MImH_1MeOH	4	2	2	1	5	0	5_square_pyramidal	3	[Zn+2]|Cc1ncc[n-:1]1|Cc1[n:2]cc[nH]1|Cc1ncc[n-:3]1|Cc1[n:4]cc[nH]1|C[OH:5]|5_square_pyramidal
117	38	1Zn_2MIm_2MImH_1MeOH	4	2	2	1	5	0	5_square_pyramidal	4	[Zn+2]|Cc1ncc[n-:1]1|Cc1[n:2]cc[nH]1|Cc1ncc[n-:3]1|C[OH:4]|Cc1[n:5]cc[nH]1|5_square_pyramidal
118	38	1Zn_2MIm_2MImH_1MeOH	4	2	2	1	5	0	5_square_pyramidal	5	[Zn+2]|Cc1ncc[n-:1]1|Cc1[n:2]cc[nH]1|Cc1[n:3]cc[nH]1|C[OH:4]|Cc1ncc[n-:5]1|5_square_pyramidal
119	38	1Zn_2MIm_2MImH_1MeOH	4	2	2	1	5	0	5_square_pyramidal	6	[Zn+2]|Cc1ncc[n-:1]1|C[OH:2]|Cc1[n:3]cc[nH]1|Cc1[n:4]cc[nH]1|Cc1ncc[n-:5]1|5_square_pyramidal
120	38	1Zn_2MIm_2MImH_1MeOH	4	2	2	1	5	0	5_trigonal_bipyramidal	7	[Zn+2]|Cc1ncc[n-:1]1|Cc1ncc[n-:2]1|Cc1[n:3]cc[nH]1|Cc1[n:4]cc[nH]1|C[OH:5]|5_trigonal_bipyramidal
121	38	1Zn_2MIm_2MImH_1MeOH	4	2	2	1	5	0	5_trigonal_bipyramidal	8	[Zn+2]|Cc1ncc[n-:1]1|Cc1[n:2]cc[nH]1|Cc1ncc[n-:3]1|Cc1[n:4]cc[nH]1|C[OH:5]|5_trigonal_bipyramidal
122	38	1Zn_2MIm_2MImH_1MeOH	4	2	2	1	5	0	5_trigonal_bipyramidal	9	[Zn+2]|Cc1ncc[n-:1]1|C[OH:2]|Cc1ncc[n-:3]1|Cc1[n:4]cc[nH]1|Cc1[n:5]cc[nH]1|5_trigonal_bipyramidal
123	38	1Zn_2MIm_2MImH_1MeOH	4	2	2	1	5	0	5_trigonal_bipyramidal	10	[Zn+2]|Cc1[n:1]cc[nH]1|Cc1[n:2]cc[nH]1|Cc1ncc[n-:3]1|Cc1ncc[n-:4]1|C[OH:5]|5_trigonal_bipyramidal
124	38	1Zn_2MIm_2MImH_1MeOH	4	2	2	1	5	0	5_trigonal_bipyramidal	11	[Zn+2]|Cc1[n:1]cc[nH]1|C[OH:2]|Cc1ncc[n-:3]1|Cc1ncc[n-:4]1|Cc1[n:5]cc[nH]1|5_trigonal_bipyramidal
125	39	1Zn_2MIm_2MImH_2MeOH	4	2	2	2	6	0	6_octahedral	1	[Zn+2]|Cc1ncc[n-:1]1|Cc1ncc[n-:2]1|Cc1[n:3]cc[nH]1|Cc1[n:4]cc[nH]1|C[OH:5]|C[OH:6]|6_octahedral
126	39	1Zn_2MIm_2MImH_2MeOH	4	2	2	2	6	0	6_octahedral	2	[Zn+2]|Cc1ncc[n-:1]1|Cc1ncc[n-:2]1|Cc1[n:3]cc[nH]1|C[OH:4]|Cc1[n:5]cc[nH]1|C[OH:6]|6_octahedral
127	39	1Zn_2MIm_2MImH_2MeOH	4	2	2	2	6	0	6_octahedral	3	[Zn+2]|Cc1ncc[n-:1]1|Cc1[n:2]cc[nH]1|Cc1ncc[n-:3]1|Cc1[n:4]cc[nH]1|C[OH:5]|C[OH:6]|6_octahedral
128	39	1Zn_2MIm_2MImH_2MeOH	4	2	2	2	6	0	6_octahedral	4	[Zn+2]|Cc1ncc[n-:1]1|Cc1[n:2]cc[nH]1|Cc1ncc[n-:3]1|C[OH:4]|Cc1[n:5]cc[nH]1|C[OH:6]|6_octahedral
129	39	1Zn_2MIm_2MImH_2MeOH	4	2	2	2	6	0	6_octahedral	5	[Zn+2]|Cc1ncc[n-:1]1|C[OH:2]|Cc1ncc[n-:3]1|C[OH:4]|Cc1[n:5]cc[nH]1|Cc1[n:6]cc[nH]1|6_octahedral
130	40	1Zn_3MIm_1MImH_0MeOH	4	3	1	0	4	-1	4_tetrahedral	1	[Zn+2]|Cc1ncc[n-:1]1|Cc1ncc[n-:2]1|Cc1ncc[n-:3]1|Cc1[n:4]cc[nH]1|4_tetrahedral
131	41	1Zn_3MIm_1MImH_1MeOH	4	3	1	1	5	-1	5_square_pyramidal	1	[Zn+2]|Cc1ncc[n-:1]1|Cc1ncc[n-:2]1|Cc1ncc[n-:3]1|Cc1[n:4]cc[nH]1|C[OH:5]|5_square_pyramidal
132	41	1Zn_3MIm_1MImH_1MeOH	4	3	1	1	5	-1	5_square_pyramidal	2	[Zn+2]|Cc1ncc[n-:1]1|Cc1ncc[n-:2]1|Cc1ncc[n-:3]1|C[OH:4]|Cc1[n:5]cc[nH]1|5_square_pyramidal
133	41	1Zn_3MIm_1MImH_1MeOH	4	3	1	1	5	-1	5_square_pyramidal	3	[Zn+2]|Cc1ncc[n-:1]1|Cc1ncc[n-:2]1|Cc1[n:3]cc[nH]1|C[OH:4]|Cc1ncc[n-:5]1|5_square_pyramidal
