id	formula_id	formula	n_MIm+n_MImH	n_MIm	n_MImH	n_MeOH	CN	charge	geometry	isomerid	msmiles
134	41	1Zn_3MIm_1MImH_1MeOH	4	3	1	1	5	-1	5_square_pyramidal	4	[Zn+2]|Cc1ncc[n-:1]1|Cc1[n:2]cc[nH]1|Cc1ncc[n-:3]1|C[OH:4]|Cc1ncc[n-:5]1|5_square_pyramidal
135	41	1Zn_3MIm_1MImH_1MeOH	4	3	1	1	5	-1	5_trigonal_bipyramidal	5	[Zn+2]|Cc1ncc[n-:1]1|Cc1ncc[n-:2]1|Cc1ncc[n-:3]1|Cc1[n:4]cc[nH]1|C[OH:5]|5_trigonal_bipyramidal
136	41	1Zn_3MIm_1MImH_1MeOH	4	3	1	1	5	-1	5_trigonal_bipyramidal	6	[Zn+2]|Cc1ncc[n-:1]1|Cc1[n:2]cc[nH]1|Cc1ncc[n-:3]1|Cc1ncc[n-:4]1|C[OH:5]|5_trigonal_bipyramidal
137	41	1Zn_3MIm_1MImH_1MeOH	4	3	1	1	5	-1	5_trigonal_bipyramidal	7	[Zn+2]|Cc1ncc[n-:1]1|C[OH:2]|Cc1ncc[n-:3]1|Cc1ncc[n-:4]1|Cc1[n:5]cc[nH]1|5_trigonal_bipyramidal
138	41	1Zn_3MIm_1MImH_1MeOH	4	3	1	1	5	-1	5_trigonal_bipyramidal	8	[Zn+2]|Cc1[n:1]cc[nH]1|C[OH:2]|Cc1ncc[n-:3]1|Cc1ncc[n-:4]1|Cc1ncc[n-:5]1|5_trigonal_bipyramidal
139	42	1Zn_3MIm_1MImH_2MeOH	4	3	1	2	6	-1	6_octahedral	1	[Zn+2]|Cc1ncc[n-:1]1|Cc1ncc[n-:2]1|Cc1ncc[n-:3]1|Cc1[n:4]cc[nH]1|C[OH:5]|C[OH:6]|6_octahedral
140	42	1Zn_3MIm_1MImH_2MeOH	4	3	1	2	6	-1	6_octahedral	2	[Zn+2]|Cc1ncc[n-:1]1|Cc1ncc[n-:2]1|Cc1ncc[n-:3]1|C[OH:4]|Cc1[n:5]cc[nH]1|C[OH:6]|6_octahedral
141	42	1Zn_3MIm_1MImH_2MeOH	4	3	1	2	6	-1	6_octahedral	3	[Zn+2]|Cc1ncc[n-:1]1|Cc1[n:2]cc[nH]1|Cc1ncc[n-:3]1|C[OH:4]|Cc1ncc[n-:5]1|C[OH:6]|6_octahedral
142	43	1Zn_4MIm_0MImH_0MeOH	4	4	0	0	4	-2	4_tetrahedral	1	[Zn+2]|Cc1ncc[n-:1]1|Cc1ncc[n-:2]1|Cc1ncc[n-:3]1|Cc1ncc[n-:4]1|4_tetrahedral
143	44	1Zn_4MIm_0MImH_1MeOH	4	4	0	1	5	-2	5_square_pyramidal	1	[Zn+2]|Cc1ncc[n-:1]1|Cc1ncc[n-:2]1|Cc1ncc[n-:3]1|Cc1ncc[n-:4]1|C[OH:5]|5_square_pyramidal
144	44	1Zn_4MIm_0MImH_1MeOH	4	4	0	1	5	-2	5_square_pyramidal	2	[Zn+2]|Cc1ncc[n-:1]1|Cc1ncc[n-:2]1|Cc1ncc[n-:3]1|C[OH:4]|Cc1ncc[n-:5]1|5_square_pyramidal
145	44	1Zn_4MIm_0MImH_1MeOH	4	4	0	1	5	-2	5_trigonal_bipyramidal	3	[Zn+2]|Cc1ncc[n-:1]1|Cc1ncc[n-:2]1|Cc1ncc[n-:3]1|Cc1ncc[n-:4]1|C[OH:5]|5_trigonal_bipyramidal
146	44	1Zn_4MIm_0MImH_1MeOH	4	4	0	1	5	-2	5_trigonal_bipyramidal	4	[Zn+2]|Cc1ncc[n-:1]1|C[OH:2]|Cc1ncc[n-:3]1|Cc1ncc[n-:4]1|Cc1ncc[n-:5]1|5_trigonal_bipyramidal
147	45	1Zn_4MIm_0MImH_2MeOH	4	4	0	2	6	-2	6_octahedral	1	[Zn+2]|Cc1ncc[n-:1]1|Cc1ncc[n-:2]1|Cc1ncc[n-:3]1|Cc1ncc[n-:4]1|C[OH:5]|C[OH:6]|6_octahedral
148	45	1Zn_4MIm_0MImH_2MeOH	4	4	0	2	6	-2	6_octahedral	2	[Zn+2]|Cc1ncc[n-:1]1|Cc1ncc[n-:2]1|Cc1ncc[n-:3]1|C[OH:4]|Cc1ncc[n-:5]1|C[OH:6]|6_octahedral
149	46	1Zn_0MIm_5MImH_0MeOH	5	0	5	0	5	2	5_square_pyramidal	1	[Zn+2]|Cc1[n:1]cc[nH]1|Cc1[n:2]cc[nH]1|Cc1[n:3]cc[nH]1|Cc1[n:4]cc[nH]1|Cc1[n:5]cc[nH]1|5_square_pyramidal
150	46	1Zn_0MIm_5MImH_0MeOH	5	0	5	0	5	2	5_trigonal_bipyramidal	2	[Zn+2]|Cc1[n:1]cc[nH]1|Cc1[n:2]cc[nH]1|Cc1[n:3]cc[nH]1|Cc1[n:4]cc[nH]1|Cc1[n:5]cc[nH]1|5_trigonal_bipyramidal
151	47	1Zn_0MIm_5MImH_1MeOH	5	0	5	1	6	2	6_octahedral	1	[Zn+2]|Cc1[n:1]cc[nH]1|Cc1[n:2]cc[nH]1|Cc1[n:3]cc[nH]1|Cc1[n:4]cc[nH]1|Cc1[n:5]cc[nH]1|C[OH:6]|6_octahedral
152	48	1Zn_1MIm_4MImH_0MeOH	5	1	4	0	5	1	5_square_pyramidal	1	[Zn+2]|Cc1ncc[n-:1]1|Cc1[n:2]cc[nH]1|Cc1[n:3]cc[nH]1|Cc1[n:4]cc[nH]1|Cc1[n:5]cc[nH]1|5_square_pyramidal
153	48	1Zn_1MIm_4MImH_0MeOH	5	1	4	0	5	1	5_square_pyramidal	2	[Zn+2]|Cc1[n:1]cc[nH]1|Cc1[n:2]cc[nH]1|Cc1[n:3]cc[nH]1|Cc1[n:4]cc[nH]1|Cc1ncc[n-:5]1|5_square_pyramidal
154	48	1Zn_1MIm_4MImH_0MeOH	5	1	4	0	5	1	5_trigonal_bipyramidal	3	[Zn+2]|Cc1ncc[n-:1]1|Cc1[n:2]cc[nH]1|Cc1[n:3]cc[nH]1|Cc1[n:4]cc[nH]1|Cc1[n:5]cc[nH]1|5_trigonal_bipyramidal
155	48	1Zn_1MIm_4MImH_0MeOH	5	1	4	0	5	1	5_trigonal_bipyramidal	4	[Zn+2]|Cc1[n:1]cc[nH]1|Cc1[n:2]cc[nH]1|Cc1ncc[n-:3]1|Cc1[n:4]cc[nH]1|Cc1[n:5]cc[nH]1|5_trigonal_bipyramidal
156	49	1Zn_1MIm_4MImH_1MeOH	5	1	4	1	6	1	6_octahedral	1	[Zn+2]|Cc1ncc[n-:1]1|Cc1[n:2]cc[nH]1|Cc1[n:3]cc[nH]1|Cc1[n:4]cc[nH]1|Cc1[n:5]cc[nH]1|C[OH:6]|6_octahedral
157	49	1Zn_1MIm_4MImH_1MeOH	5	1	4	1	6	1	6_octahedral	2	[Zn+2]|Cc1ncc[n-:1]1|C[OH:2]|Cc1[n:3]cc[nH]1|Cc1[n:4]cc[nH]1|Cc1[n:5]cc[nH]1|Cc1[n:6]cc[nH]1|6_octahedral
158	50	1Zn_2MIm_3MImH_0MeOH	5	2	3	0	5	0	5_square_pyramidal	1	[Zn+2]|Cc1ncc[n-:1]1|Cc1ncc[n-:2]1|Cc1[n:3]cc[nH]1|Cc1[n:4]cc[nH]1|Cc1[n:5]cc[nH]1|5_square_pyramidal
159	50	1Zn_2MIm_3MImH_0MeOH	5	2	3	0	5	0	5_square_pyramidal	2	[Zn+2]|Cc1ncc[n-:1]1|Cc1[n:2]cc[nH]1|Cc1ncc[n-:3]1|Cc1[n:4]cc[nH]1|Cc1[n:5]cc[nH]1|5_square_pyramidal
160	50	1Zn_2MIm_3MImH_0MeOH	5	2	3	0	5	0	5_square_pyramidal	3	[Zn+2]|Cc1ncc[n-:1]1|Cc1[n:2]cc[nH]1|Cc1[n:3]cc[nH]1|Cc1[n:4]cc[nH]1|Cc1ncc[n-:5]1|5_square_pyramidal
161	50	1Zn_2MIm_3MImH_0MeOH	5	2	3	0	5	0	5_trigonal_bipyramidal	4	[Zn+2]|Cc1ncc[n-:1]1|Cc1ncc[n-:2]1|Cc1[n:3]cc[nH]1|Cc1[n:4]cc[nH]1|Cc1[n:5]cc[nH]1|5_trigonal_bipyramidal
162	50	1Zn_2MIm_3MImH_0MeOH	5	2	3	0	5	0	5_trigonal_bipyramidal	5	[Zn+2]|Cc1ncc[n-:1]1|Cc1[n:2]cc[nH]1|Cc1ncc[n-:3]1|Cc1[n:4]cc[nH]1|Cc1[n:5]cc[nH]1|5_trigonal_bipyramidal
163	50	1Zn_2MIm_3MImH_0MeOH	5	2	3	0	5	0	5_trigonal_bipyramidal	6	[Zn+2]|Cc1[n:1]cc[nH]1|Cc1[n:2]cc[nH]1|Cc1ncc[n-:3]1|Cc1ncc[n-:4]1|Cc1[n:5]cc[nH]1|5_trigonal_bipyramidal
164	51	1Zn_2MIm_3MImH_1MeOH	5	2	3	1	6	0	6_octahedral	1	[Zn+2]|Cc1ncc[n-:1]1|Cc1ncc[n-:2]1|Cc1[n:3]cc[nH]1|Cc1[n:4]cc[nH]1|Cc1[n:5]cc[nH]1|C[OH:6]|6_octahedral
165	51	1Zn_2MIm_3MImH_1MeOH	5	2	3	1	6	0	6_octahedral	2	[Zn+2]|Cc1ncc[n-:1]1|Cc1[n:2]cc[nH]1|Cc1ncc[n-:3]1|Cc1[n:4]cc[nH]1|Cc1[n:5]cc[nH]1|C[OH:6]|6_octahedral
166	51	1Zn_2MIm_3MImH_1MeOH	5	2	3	1	6	0	6_octahedral	3	[Zn+2]|Cc1ncc[n-:1]1|Cc1[n:2]cc[nH]1|Cc1ncc[n-:3]1|C[OH:4]|Cc1[n:5]cc[nH]1|Cc1[n:6]cc[nH]1|6_octahedral
167	52	1Zn_3MIm_2MImH_0MeOH	5	3	2	0	5	-1	5_square_pyramidal	1	[Zn+2]|Cc1ncc[n-:1]1|Cc1ncc[n-:2]1|Cc1ncc[n-:3]1|Cc1[n:4]cc[nH]1|Cc1[n:5]cc[nH]1|5_square_pyramidal
168	52	1Zn_3MIm_2MImH_0MeOH	5	3	2	0	5	-1	5_square_pyramidal	2	[Zn+2]|Cc1ncc[n-:1]1|Cc1ncc[n-:2]1|Cc1[n:3]cc[nH]1|Cc1[n:4]cc[nH]1|Cc1ncc[n-:5]1|5_square_pyramidal
169	52	1Zn_3MIm_2MImH_0MeOH	5	3	2	0	5	-1	5_square_pyramidal	3	[Zn+2]|Cc1ncc[n-:1]1|Cc1[n:2]cc[nH]1|Cc1ncc[n-:3]1|Cc1[n:4]cc[nH]1|Cc1ncc[n-:5]1|5_square_pyramidal
170	52	1Zn_3MIm_2MImH_0MeOH	5	3	2	0	5	-1	5_trigonal_bipyramidal	4	[Zn+2]|Cc1ncc[n-:1]1|Cc1ncc[n-:2]1|Cc1ncc[n-:3]1|Cc1[n:4]cc[nH]1|Cc1[n:5]cc[nH]1|5_trigonal_bipyramidal
171	52	1Zn_3MIm_2MImH_0MeOH	5	3	2	0	5	-1	5_trigonal_bipyramidal	5	[Zn+2]|Cc1ncc[n-:1]1|Cc1[n:2]cc[nH]1|Cc1ncc[n-:3]1|Cc1ncc[n-:4]1|Cc1[n:5]cc[nH]1|5_trigonal_bipyramidal
172	52	1Zn_3MIm_2MImH_0MeOH	5	3	2	0	5	-1	5_trigonal_bipyramidal	6	[Zn+2]|Cc1[n:1]cc[nH]1|Cc1[n:2]cc[nH]1|Cc1ncc[n-:3]1|Cc1ncc[n-:4]1|Cc1ncc[n-:5]1|5_trigonal_bipyramidal
173	53	1Zn_3MIm_2MImH_1MeOH	5	3	2	1	6	-1	6_octahedral	1	[Zn+2]|Cc1ncc[n-:1]1|Cc1ncc[n-:2]1|Cc1ncc[n-:3]1|Cc1[n:4]cc[nH]1|Cc1[n:5]cc[nH]1|C[OH:6]|6_octahedral
174	53	1Zn_3MIm_2MImH_1MeOH	5	3	2	1	6	-1	6_octahedral	2	[Zn+2]|Cc1ncc[n-:1]1|Cc1ncc[n-:2]1|Cc1ncc[n-:3]1|C[OH:4]|Cc1[n:5]cc[nH]1|Cc1[n:6]cc[nH]1|6_octahedral
175	53	1Zn_3MIm_2MImH_1MeOH	5	3	2	1	6	-1	6_octahedral	3	[Zn+2]|Cc1ncc[n-:1]1|Cc1[n:2]cc[nH]1|Cc1ncc[n-:3]1|Cc1[n:4]cc[nH]1|Cc1ncc[n-:5]1|C[OH:6]|6_octahedral
176	54	1Zn_4MIm_1MImH_0MeOH	5	4	1	0	5	-2	5_square_pyramidal	1	[Zn+2]|Cc1ncc[n-:1]1|Cc1ncc[n-:2]1|Cc1ncc[n-:3]1|Cc1ncc[n-:4]1|Cc1[n:5]cc[nH]1|5_square_pyramidal
177	54	1Zn_4MIm_1MImH_0MeOH	5	4	1	0	5	-2	5_square_pyramidal	2	[Zn+2]|Cc1ncc[n-:1]1|Cc1ncc[n-:2]1|Cc1ncc[n-:3]1|Cc1[n:4]cc[nH]1|Cc1ncc[n-:5]1|5_square_pyramidal
178	54	1Zn_4MIm_1MImH_0MeOH	5	4	1	0	5	-2	5_trigonal_bipyramidal	3	[Zn+2]|Cc1ncc[n-:1]1|Cc1ncc[n-:2]1|Cc1ncc[n-:3]1|Cc1ncc[n-:4]1|Cc1[n:5]cc[nH]1|5_trigonal_bipyramidal
179	54	1Zn_4MIm_1MImH_0MeOH	5	4	1	0	5	-2	5_trigonal_bipyramidal	4	[Zn+2]|Cc1ncc[n-:1]1|Cc1[n:2]cc[nH]1|Cc1ncc[n-:3]1|Cc1ncc[n-:4]1|Cc1ncc[n-:5]1|5_trigonal_bipyramidal
180	55	1Zn_4MIm_1MImH_1MeOH	5	4	1	1	6	-2	6_octahedral	1	[Zn+2]|Cc1ncc[n-:1]1|Cc1ncc[n-:2]1|Cc1ncc[n-:3]1|Cc1ncc[n-:4]1|Cc1[n:5]cc[nH]1|C[OH:6]|6_octahedral
181	55	1Zn_4MIm_1MImH_1MeOH	5	4	1	1	6	-2	6_octahedral	2	[Zn+2]|Cc1ncc[n-:1]1|Cc1ncc[n-:2]1|Cc1ncc[n-:3]1|Cc1[n:4]cc[nH]1|Cc1ncc[n-:5]1|C[OH:6]|6_octahedral
182	56	1Zn_5MIm_0MImH_0MeOH	5	5	0	0	5	-3	5_square_pyramidal	1	[Zn+2]|Cc1ncc[n-:1]1|Cc1ncc[n-:2]1|Cc1ncc[n-:3]1|Cc1ncc[n-:4]1|Cc1ncc[n-:5]1|5_square_pyramidal
183	56	1Zn_5MIm_0MImH_0MeOH	5	5	0	0	5	-3	5_trigonal_bipyramidal	2	[Zn+2]|Cc1ncc[n-:1]1|Cc1ncc[n-:2]1|Cc1ncc[n-:3]1|Cc1ncc[n-:4]1|Cc1ncc[n-:5]1|5_trigonal_bipyramidal
184	57	1Zn_5MIm_0MImH_1MeOH	5	5	0	1	6	-3	6_octahedral	1	[Zn+2]|Cc1ncc[n-:1]1|Cc1ncc[n-:2]1|Cc1ncc[n-:3]1|Cc1ncc[n-:4]1|Cc1ncc[n-:5]1|C[OH:6]|6_octahedral
185	58	1Zn_0MIm_6MImH_0MeOH	6	0	6	0	6	2	6_octahedral	1	[Zn+2]|Cc1[n:1]cc[nH]1|Cc1[n:2]cc[nH]1|Cc1[n:3]cc[nH]1|Cc1[n:4]cc[nH]1|Cc1[n:5]cc[nH]1|Cc1[n:6]cc[nH]1|6_octahedral
186	59	1Zn_1MIm_5MImH_0MeOH	6	1	5	0	6	1	6_octahedral	1	[Zn+2]|Cc1ncc[n-:1]1|Cc1[n:2]cc[nH]1|Cc1[n:3]cc[nH]1|Cc1[n:4]cc[nH]1|Cc1[n:5]cc[nH]1|Cc1[n:6]cc[nH]1|6_octahedral
187	60	1Zn_2MIm_4MImH_0MeOH	6	2	4	0	6	0	6_octahedral	1	[Zn+2]|Cc1ncc[n-:1]1|Cc1ncc[n-:2]1|Cc1[n:3]cc[nH]1|Cc1[n:4]cc[nH]1|Cc1[n:5]cc[nH]1|Cc1[n:6]cc[nH]1|6_octahedral
188	60	1Zn_2MIm_4MImH_0MeOH	6	2	4	0	6	0	6_octahedral	2	[Zn+2]|Cc1ncc[n-:1]1|Cc1[n:2]cc[nH]1|Cc1ncc[n-:3]1|Cc1[n:4]cc[nH]1|Cc1[n:5]cc[nH]1|Cc1[n:6]cc[nH]1|6_octahedral
189	61	1Zn_3MIm_3MImH_0MeOH	6	3	3	0	6	-1	6_octahedral	1	[Zn+2]|Cc1ncc[n-:1]1|Cc1ncc[n-:2]1|Cc1ncc[n-:3]1|Cc1[n:4]cc[nH]1|Cc1[n:5]cc[nH]1|Cc1[n:6]cc[nH]1|6_octahedral
190	61	1Zn_3MIm_3MImH_0MeOH	6	3	3	0	6	-1	6_octahedral	2	[Zn+2]|Cc1ncc[n-:1]1|Cc1[n:2]cc[nH]1|Cc1ncc[n-:3]1|Cc1[n:4]cc[nH]1|Cc1ncc[n-:5]1|Cc1[n:6]cc[nH]1|6_octahedral
191	62	1Zn_4MIm_2MImH_0MeOH	6	4	2	0	6	-2	6_octahedral	1	[Zn+2]|Cc1ncc[n-:1]1|Cc1ncc[n-:2]1|Cc1ncc[n-:3]1|Cc1ncc[n-:4]1|Cc1[n:5]cc[nH]1|Cc1[n:6]cc[nH]1|6_octahedral
192	62	1Zn_4MIm_2MImH_0MeOH	6	4	2	0	6	-2	6_octahedral	2	[Zn+2]|Cc1ncc[n-:1]1|Cc1ncc[n-:2]1|Cc1ncc[n-:3]1|Cc1[n:4]cc[nH]1|Cc1ncc[n-:5]1|Cc1[n:6]cc[nH]1|6_octahedral
193	63	1Zn_5MIm_1MImH_0MeOH	6	5	1	0	6	-3	6_octahedral	1	[Zn+2]|Cc1ncc[n-:1]1|Cc1ncc[n-:2]1|Cc1ncc[n-:3]1|Cc1ncc[n-:4]1|Cc1ncc[n-:5]1|Cc1[n:6]cc[nH]1|6_octahedral
194	64	1Zn_6MIm_0MImH_0MeOH	6	6	0	0	6	-4	6_octahedral	1	[Zn+2]|Cc1ncc[n-:1]1|Cc1ncc[n-:2]1|Cc1ncc[n-:3]1|Cc1ncc[n-:4]1|Cc1ncc[n-:5]1|Cc1ncc[n-:6]1|6_octahedral
