Phase,Run,Method,BSSE,Ebind_1Zn_0MImH_4MeOH,Ebind_1Zn_1MImH_3MeOH,Ebind_1Zn_2MImH_2MeOH,Ebind_1Zn_3MImH_1MeOH,Ebind_1Zn_4MImH_0MeOH,dE_0_1,dE_1_2,dE_2_3,dE_3_4,E_Zn,E_MImH,E_MeOH,E_1Zn_0MImH_4MeOH,E_1Zn_1MImH_3MeOH,E_1Zn_2MImH_2MeOH,E_1Zn_3MImH_1MeOH,E_1Zn_4MImH_0MeOH
SP_init,run7,GFN2-xTB,no,-888.6175999999978,-935.0928999999996,-973.1362999999983,-1004.2029999999941,-1031.5502999999953,-46.47529999999824,-38.043399999998655,-31.0666999999994,-27.34730000000127,1095.0519,-10961.7088,-5161.6304,-20440.0873,-26286.641,-32124.7628,-37955.9079,-43783.3336
SP_opt,run7,GFN2-xTB,no,-891.4507999999987,-937.4876000000004,-974.1048999999985,-1004.9795999999988,-1031.8559999999998,-46.03679999999986,-36.61729999999989,-30.874699999998484,-26.876399999999194,1095.0519,-10962.9834,-5161.9672,-20444.2677,-26291.3207,-32128.9542,-37960.8451,-43788.7377
SP_opt,run6,DFTB3-D3 DampingH,no,-325.1221000000005,-365.23229999999967,-400.58989999999903,-432.339299999996,-461.1194999999934,-40.11019999999917,-35.357599999999366,-31.749400000000605,-28.78019999999742,-2077.4512,-8719.5187,-4094.2204,-18779.4549,-23444.8634,-28105.5193,-32762.567,-37416.6455
SP_init,run9,mDFTB3D3/3ob,no,-331.9988999999987,-371.8783000000003,-407.6826000000001,-440.0185999999994,-469.4499999999971,-39.879399999999805,-35.804300000001604,-32.33600000000115,-29.431399999999485,-2077.4512,-8711.0891,-4088.5259,-18763.5537,-23425.9963,-28084.3638,-32739.263,-37391.2576
SP_opt,run9,mDFTB3D3/3ob,no,-333.6094000000012,-372.98489999999947,-408.1794000000009,-439.6159000000007,-468.27160000000003,-39.37549999999828,-35.194500000001426,-31.436500000003434,-28.655699999999342,-2077.4512,-8711.911,-4088.7262,-18765.9654,-23428.5257,-28086.905,-32741.5263,-37393.3668
SP_init,run6,DFTB3-D3 DampingH,no,-325.35489999999845,-364.6151000000027,-400.1596000000027,-431.9863000000005,-460.9380000000019,-39.26020000000062,-35.54450000000361,-31.826700000001438,-28.951700000001438,-2077.4512,-8719.0173,-4093.8791,-18778.3225,-23442.7209,-28103.4036,-32760.3685,-37414.4584
SP_init,run15,mDFTB3D3/3ob_prime O_unmodified,no,-334.278199999997,-373.30189999999857,-407.655700000003,-439.4506000000001,-468.2204999999958,-39.023700000001554,-34.35380000000441,-31.79490000000078,-28.769899999995687,-2077.4512,-8708.0265,-4083.3483,-18745.1226,-23408.8245,-28067.8565,-32724.3296,-37377.7777
SP_opt,run1,DFTB3-D3,no,-330.26740000000063,-369.0665000000008,-403.45700000000215,-434.3856999999989,-462.5089999999982,-38.79909999999836,-34.39049999999952,-30.92870000000221,-28.123300000004747,-2077.4512,-8718.7057,-4091.747,-18774.7066,-23440.4644,-28101.8136,-32759.701,-37414.783
SP_opt,run17,DFTB3 DampingH,no,-319.83580000000075,-358.32640000000174,-391.6019000000051,-420.8625000000029,-446.48739999999816,-38.490600000000995,-33.275500000003376,-29.260600000001432,-25.62489999999525,-2077.4512,-8715.7977,-4093.4932,-18771.2598,-23432.0549,-28087.6349,-32739.2,-37387.1294
SP_init,run1,DFTB3-D3,no,-330.5147999999972,-368.5031999999992,-403.03809999999794,-434.0810999999994,-462.36469999999827,-37.98840000000018,-34.53490000000056,-31.043000000003303,-28.28360000000066,-2077.4512,-8718.1965,-4091.3672,-18773.4348,-23438.2525,-28099.6167,-32757.489,-37412.6019
SP_init,run16,PBE-D3(BJ) def2-TZVPPD,no,-327.8586999999825,-365.7893000000622,-398.56030000024475,-428.10700000007637,-454.17030000011437,-37.9305999999051,-32.771000000007916,-29.546699999889825,-26.063300000096206,-1115780.2323,-166494.648,-72563.0532,-1406360.3038,-1500329.8292,-1594294.195,-1688255.3365,-1782212.9946
SP_opt,run15,mDFTB3D3/3ob_prime O_unmodified,no,-338.15450000000055,-376.0572000000029,-409.3284999999996,-439.3011000000006,-466.7448000000004,-37.90270000000237,-33.2712999999967,-29.97259999999733,-27.443700000007084,-2077.4512,-8709.0785,-4083.696,-18750.3897,-23413.6749,-28072.3287,-32727.6838,-37380.51
SP_init,run8,mDFTB3D3/3ob_prime,no,-337.82670000000144,-375.66909999999916,-409.15309999999954,-440.08020000000033,-468.2204999999958,-37.842399999997724,-33.48400000000038,-30.92710000000079,-28.140299999999115,-2077.4512,-8708.0265,-4057.9061,-18646.9023,-23334.8651,-28018.4695,-32699.517,-37377.7777
SP_opt,run2,DFTB3-D3H5,no,-334.11719999999696,-371.8749000000025,-405.71810000000187,-435.7993000000024,-462.8899999999994,-37.75770000000193,-33.84320000000298,-30.081199999996898,-27.090699999997014,-2077.4512,-8716.4492,-4090.5102,-18773.6092,-23437.3059,-28097.0881,-32753.1083,-37406.138
SP_init,run17,DFTB3 DampingH,no,-320.04569999999876,-357.7354000000014,-391.0535000000018,-420.2837999999974,-445.9264999999941,-37.68970000000081,-33.318099999998594,-29.23030000000108,-25.642699999998513,-2077.4512,-8715.2973,-4093.1521,-18770.1053,-23429.9402,-28085.4035,-32736.779,-37384.5669
SP_init,run16,PBE-D3(BJ) def2-TZVPPD,yes,-326.23420000006445,-363.88610000000335,-396.34980000020005,-425.60979999997653,-451.2477000001818,-37.65189999976428,-32.46370000002207,-29.25999999983469,-25.63790000026347,-1115780.2323,-166494.648,-72563.0532,-1406358.6793000002,-1500327.926,-1594291.9845,-1688252.8392999999,-1782210.0720000002
SP_init,run14,M06L-D3 def2-SVPD DEFGRID3,no,-319.3381000000518,-356.5200999996159,-390.2399999999907,-420.4906999999657,-447.76299999980256,-37.18199999991339,-33.71990000025835,-30.250700000091456,-27.272299999953248,-1115778.147,-166494.1788,-72555.6333,-1406320.0183,-1500295.7458,-1594268.0112,-1688236.8074,-1782202.6252
SP_opt,run8,mDFTB3D3/3ob_prime,no,-340.3230999999978,-377.3729999999996,-410.079099999999,-439.64300000000367,-466.7448000000004,-37.04989999999816,-32.706099999999424,-29.563900000001013,-27.101800000004005,-2077.4512,-8709.0785,-4058.4904,-18651.7359,-23339.3739,-28022.6681,-32702.8201,-37380.51
SP_init,run2,DFTB3-D3H5,no,-334.30739999999787,-371.305900000003,-405.0535999999993,-434.95220000000336,-462.05889999999636,-36.998499999999694,-33.747699999998076,-29.898599999998623,-27.106700000002093,-2077.4512,-8715.9547,-4090.2021,-18772.567,-23435.3181,-28094.8184,-32750.4696,-37403.3289
SP_init,run13,M06L-D3 def2-TZVPPD DEFGRID3,no,-314.689500000095,-351.4315000001807,-384.4576000000816,-413.4532000001054,-439.0069000001531,-36.7420000002312,-33.026100000046426,-28.99560000016936,-25.553700000193203,-1115930.8238,-166669.5383,-72636.3722,-1406791.0021,-1500860.9102,-1594927.1024,-1688989.2641,-1783047.9839
SP_init,run20,RI-MP2 def2-TZVPPD def2-TZVPPD/C,no,-315.65889999992214,-352.38950000004843,-385.3201999999583,-416.36790000018664,-444.8628000000026,-36.730599999806145,-32.93070000005537,-31.047699999908218,-28.49489999972866,-1115496.7364,-166300.7247,-72493.1241,-1405784.8917,-1499629.2229,-1593469.7542,-1687308.4025,-1781144.498
SP_init,run23,B3LYP def2-TZVPPD D3BJ AutoAux,no,-328.97139999992214,-365.69579999987036,-397.7501000002958,-426.9935000000987,-453.06890000007115,-36.724400000006426,-32.054300000017975,-29.24339999986114,-26.07540000003064,-1115911.7408,-166604.5918,-72613.5857,-1406695.055,-1500722.7855,-1594745.8459,-1688766.0954,-1782783.1769
SP_init,run19,B3LYP def2-TZVPPD D3BJ,no,-328.9676000000909,-365.68109999992885,-397.7313000001013,-426.970200000098,-453.0163000000175,-36.71349999992526,-32.05020000002696,-29.23890000008396,-26.046100000006845,-1115911.7521,-166604.7753,-72613.7001,-1406695.5201,-1500723.3088,-1594746.4342,-1688766.7483,-1782783.8696
SP_init,run22,RI-MP2 RIJCOSX def2-TZVPPD def2-TZVPPD/C AutoAux,no,-315.6959999999963,-352.3902999998536,-385.3256999999285,-416.3849999997765,-444.8180999998003,-36.69430000006105,-32.935400000045775,-31.059300000051735,-28.43310000022757,-1115496.7383,-166300.7263,-72493.1222,-1405784.9231,-1499629.2215,-1593469.761,-1687308.4244,-1781144.4616
SP_opt,run27,g-xTB,no,-321.4730953273829,-358.0549968893174,-391.8748846894596,-422.58333167317323,-450.2885162951425,-36.581901561963605,-33.8198878004041,-30.70844698350993,-27.705184622231172,-1115903.9910432766,-166630.34798697775,-72618.55274848914,-1406699.6751325605,-1500748.052272611,-1594793.6673989,-1688836.171084372,-1782875.6715074829
SP_init,run23,B3LYP def2-TZVPPD D3BJ AutoAux,yes,-327.3330999999307,-363.783800000092,-395.5288000004366,-424.51920000021346,-450.19840000011027,-36.45070000021951,-31.744999999937136,-28.990399999835063,-25.679199999955017,-1115911.7408,-166604.5918,-72613.5857,-1406693.4167,-1500720.8735000002,-1594743.6246000002,-1688763.6211,-1782780.3064000001
SP_init,run13,M06L-D3 def2-TZVPPD DEFGRID3,yes,-311.95959999994375,-348.27470000018366,-380.82700000004843,-409.279899999965,-434.25780000002123,-36.31510000038543,-32.55230000001029,-28.452900000062073,-24.97790000020177,-1115930.8238,-166669.5383,-72636.3722,-1406788.2721999998,-1500857.7534,-1594923.4718,-1688985.0908,-1783043.2348
SP_init,run27,g-xTB,no,-321.0493679186329,-357.2930119987577,-390.8515185781289,-421.6291814199649,-449.62163954484276,-36.243644080124795,-33.55850657937117,-30.77766284183599,-27.992458124877885,-1115903.9910432766,-166628.77920758724,-72618.31047039713,-1406698.2822927837,-1500744.994674054,-1594789.0219178235,-1688830.2683178554,-1782868.7295131704
SP_init,run14,M06L-D3 def2-SVPD DEFGRID3,yes,-311.6870000001509,-347.7950999997556,-380.4283000000287,-409.3094000001438,-434.9934999998659,-36.10809999995399,-32.63320000015665,-28.881100000231527,-25.68409999983851,-1115778.147,-166494.1788,-72555.6333,-1406312.3672000002,-1500287.0208,-1594258.1995,-1688225.6261000002,-1782189.8557
SP_init,run24,DLPNO-CCSD(T) RIJCOSX def2-TZVPPD def2-TZVPPD/C AutoAux,no,-312.644391174661,-348.64276604540646,-380.5387469767593,-410.15280085685663,-436.777761768084,-35.99837487092009,-31.895980931527447,-29.614053880271968,-26.624960911169183,-1115458.7923789562,-166344.54883106804,-72513.99850439433,-1405827.4307877081,-1499693.9794892527,-1593556.4257968578,-1687416.5901774117,-1781273.7654649965
SP_init,run18,B3LYP aug-cc-pVTZ D3BJ,no,-330.28490000008605,-366.26579999993555,-397.8299999998417,-426.7041000002064,-452.45009999978356,-35.9808999998786,-31.564200000168057,-28.87410000016098,-25.745999999839114,-1115939.6387,-166600.7419,-72611.3773,-1406715.4328,-1500740.7783,-1594761.7071,-1688779.9458,-1782795.0564
SP_init,run18,B3LYP aug-cc-pVTZ D3BJ,yes,-329.3927000002004,-365.18330000014976,-396.5053000000771,-425.1366000000853,-450.6139999998268,-35.79059999997844,-31.32200000018929,-28.63129999980447,-25.4774000000034,-1115939.6387,-166600.7419,-72611.3773,-1406714.5406000002,-1500739.6958,-1594760.3824000002,-1688778.3783,-1782793.2203
SP_init,run22,RI-MP2 RIJCOSX def2-TZVPPD def2-TZVPPD/C AutoAux,yes,-307.86410000012256,-343.2970000000205,-374.7320999999065,-404.0685999998823,-430.469299999997,-35.432900000101654,-31.435099999856902,-29.336500000179512,-26.400700000318466,-1115496.7383,-166300.7263,-72493.1222,-1405777.0912000001,-1499620.1282000002,-1593459.1674,-1687296.108,-1781130.1128000002
SP_init,run24,DLPNO-CCSD(T) RIJCOSX def2-TZVPPD def2-TZVPPD/C AutoAux,yes,-304.95583528326824,-339.98820995981805,-370.67450146679766,-399.2354598734528,-424.51221112464555,-35.03237467672443,-30.686291507154237,-28.56095840682974,-25.276751251134556,-1115458.7923789562,-166344.54883106804,-72513.99850439433,-1405819.7422318168,-1499685.324933167,-1593546.5615513478,-1687405.6728364283,-1781261.499914353
SP_opt,run5,MM OPC,no,-279.5723,-300.1259,-320.12190000000004,-340.23760000000004,-359.94589999999994,-20.55360000000001,-19.99600000000003,-20.115699999999997,-19.708299999999944,0.0,-18.9536,5.2894,-258.4147,-303.2113,-347.4503,-391.809,-435.7603
SP_init,run5,MM OPC,no,-235.84750000000003,-256.1163,-278.5001,-299.99879999999996,-323.426,-20.268799999999985,-22.383799999999994,-21.498700000000028,-23.427200000000013,0.0,-18.0929,5.8642,-212.3907,-256.6166,-302.9575,-348.4133,-395.7976
SP_opt,run0,MM,no,-256.64349999999996,-276.6797,-296.3517,-316.0873,-335.5706,-20.03620000000003,-19.67199999999996,-19.735600000000026,-19.48329999999998,0.0,-18.9536,5.2894,-235.4859,-279.7651,-323.6801,-367.6587,-411.385
SP_init,run0,MM,no,-229.63139999999999,-249.61579999999998,-271.7582,-293.21680000000003,-316.6683,-19.98439999999998,-22.142400000000023,-21.458600000000033,-23.451499999999996,0.0,-18.0929,5.8642,-206.1746,-250.1161,-296.2156,-341.6313,-389.0399
